escopo,regiao,n_municipios,n_alunos,probabilidade_media_risco_ponderada,taxa_risco_real_ponderada,taxa_sinalizada_risco_ponderada,carga_risco_estimada,media_probabilidade_municipios,mediana_probabilidade_municipios
dominio_forte,Norte,413,177885,0.4865810573240788,0.49308823116058126,0.8435618517581583,86555.47138209376,0.5131333931152537,0.5236192492685104
dominio_forte,Nordeste,1782,465488,0.44476983175154217,0.43141821056611557,0.654240281167291,207035.01944236187,0.4595522769587865,0.4580331424945726
dominio_forte,Centro-Oeste,465,153094,0.40496685932591653,0.34541523508432725,0.48242256391498034,61997.99636164187,0.35497168775875204,0.3409714142512063
dominio_forte,Sudeste,1017,348976,0.4036326630507433,0.3349141488239879,0.44108190821145293,140858.1122207962,0.35789996014996217,0.3562098328586381
dominio_forte,Sul,1164,278290,0.3164742732107899,0.39029429731574977,0.09770024075604584,88071.62549183072,0.2764141290683042,0.26705919097975717
todos_2024,Norte,435,188119,0.488768246327044,0.49243298125122925,0.851131464658009,91946.59373079719,0.5132156707380708,0.5236192492685104
todos_2024,Nordeste,1782,465488,0.44476983175154217,0.43141821056611557,0.654240281167291,207035.01944236187,0.4595522769587865,0.4580331424945726
todos_2024,Centro-Oeste,466,175205,0.42264303987896334,0.35302645472446564,0.5477412174310093,74049.17380199378,0.35537954006890843,0.3424340613429383
todos_2024,Sudeste,1664,744637,0.4062120495772977,0.37706291790496577,0.43917774700961676,302480.5219610902,0.35504229266915005,0.35284538513550057
todos_2024,Sul,1170,278403,0.3164432981712847,0.39026159919253745,0.09766058555403498,88098.76354078017,0.27623457833977844,0.26688090718233554
