regiao,n_municipios_com_historico,n_risco_nao_atingir_2025,share_risco_nao_atingir_2025,taxa_observada_2024_media,meta_2025_media,ganho_2023_2024_medio_pp,deficit_trajetoria_2025_medio_entre_risco_pp
Sul,1054,726,0.6888045540796964,64.68229601518027,73.75711574952561,-8.244554079696394,31.86484848484848
Norte,389,220,0.5655526992287918,50.23575835475578,56.179511568123395,4.10491002570694,20.26131818181818
Nordeste,1738,891,0.5126582278481012,56.78457997698504,60.06344649021864,3.2536823935558115,22.072727272727278
Sudeste,1590,562,0.3534591194968553,69.97654716981131,67.22098113207547,7.823465408805031,16.246459074733096
Centro-Oeste,461,133,0.2885032537960954,72.3202169197397,68.31427331887203,7.7772668112798256,16.257443609022555
