id_municipio,municipio,sigla_uf,regiao,municipio_visto_2023,uf_vista_2023,status_dominio_modelo,n_alunos,taxa_alfabetizacao_real,taxa_risco_real,probabilidade_media_alfabetizado,probabilidade_media_risco,taxa_sinalizada_risco,carga_risco_estimada,gap_probabilidade_vs_risco_real,rank_probabilidade_risco_geral,rank_carga_risco_geral,percentil_risco_modelo,faixa_risco_relativo
2804805,Nossa Senhora do Socorro,SE,Nordeste,True,True,DOMINIO_FORTE,1785,0.2980392156862745,0.7019607843137254,0.2611064485272932,0.7388935514727069,1.0,1318.9249893787817,0.03693276715898142,1,85,1.0,top_10_percent
2803104,Itabi,SE,Nordeste,True,True,DOMINIO_FORTE,20,0.35,0.65,0.2685561923324808,0.7314438076675192,1.0,14.628876153350383,0.08144380766751913,2,4430,0.9998187420699656,top_10_percent
2804904,Pacatuba,SE,Nordeste,True,True,DOMINIO_FORTE,106,0.3018867924528302,0.6981132075471698,0.272729621653334,0.727270378346666,1.0,77.09066010474659,0.0291571707994962,3,1725,0.9996374841399311,top_10_percent
2801207,Canindé de São Francisco,SE,Nordeste,True,True,DOMINIO_FORTE,460,0.2695652173913043,0.7304347826086957,0.2792790667110914,0.7207209332889086,1.0,331.53162931289796,-0.009713849319787027,4,383,0.9994562262098967,top_10_percent
2805802,Riachão do Dantas,SE,Nordeste,True,True,DOMINIO_FORTE,125,0.344,0.656,0.2805528930632106,0.7194471069367894,1.0,89.93088836709867,0.06344710693678934,5,1490,0.9992749682798623,top_10_percent
2805604,Porto da Folha,SE,Nordeste,True,True,DOMINIO_FORTE,228,0.175438596491228,0.8245614035087719,0.2833194920877067,0.7166805079122933,1.0,163.40315580400286,-0.10788089559647862,6,831,0.9990937103498279,top_10_percent
2803609,Laranjeiras,SE,Nordeste,True,True,DOMINIO_FORTE,215,0.2697674418604651,0.7302325581395349,0.2888467506879726,0.7111532493120273,1.0,152.89794860208588,-0.019079308827507635,7,885,0.9989124524197933,top_10_percent
2802502,General Maynard,SE,Nordeste,True,True,DOMINIO_FORTE,32,0.21875,0.78125,0.2890440695915082,0.7109559304084918,1.0,22.750589773071738,-0.07029406959150819,8,3748,0.9987311944897589,top_10_percent
2803302,Japaratuba,SE,Nordeste,True,True,DOMINIO_FORTE,167,0.5808383233532934,0.4191616766467065,0.2892150668873862,0.7107849331126138,1.0,118.7010838298065,0.2916232564659073,9,1129,0.9985499365597245,top_10_percent
2800407,Arauá,SE,Nordeste,True,True,DOMINIO_FORTE,108,0.287037037037037,0.7129629629629629,0.2945776588776429,0.705422341122357,1.0,76.18561284121456,-0.007540621840605888,10,1736,0.99836867862969,top_10_percent
2907202,Casa Nova,BA,Nordeste,True,True,DOMINIO_FORTE,430,0.2093023255813953,0.7906976744186046,0.2985403873519467,0.7014596126480532,1.0,301.6276334386629,-0.08923806177055138,11,439,0.9981874206996556,top_10_percent
2800670,Boquim,SE,Nordeste,True,True,DOMINIO_FORTE,164,0.3597560975609756,0.6402439024390244,0.2987849114257989,0.701215088574201,1.0,114.99927452616896,0.0609711861351766,12,1171,0.9980061627696212,top_10_percent
2801306,Capela,SE,Nordeste,True,True,DOMINIO_FORTE,317,0.3596214511041009,0.6403785488958991,0.2997170018312171,0.7002829981687829,1.0,221.98971041950418,0.05990444927288385,13,617,0.9978249048395867,top_10_percent
2408953,Rio do Fogo,RN,Nordeste,True,True,DOMINIO_FORTE,88,0.3068181818181818,0.6931818181818182,0.2997373424483436,0.7002626575516564,1.0,61.623113864545765,0.0070808393698381655,14,2046,0.9976436469095523,top_10_percent
2924009,Paulo Afonso,BA,Nordeste,True,True,DOMINIO_FORTE,944,0.3050847457627119,0.6949152542372882,0.3002366467129219,0.6997633532870782,1.0,660.5766055030018,0.00484809904979,15,187,0.9974623889795179,top_10_percent
2804458,Nossa Senhora Aparecida,SE,Nordeste,True,True,DOMINIO_FORTE,46,0.5869565217391305,0.4130434782608695,0.3003449527932238,0.6996550472067762,1.0,32.184132171511706,0.28661156894590667,16,3145,0.9972811310494835,top_10_percent
2805307,Pirambu,SE,Nordeste,True,True,DOMINIO_FORTE,100,0.39,0.61,0.3005625758572494,0.6994374241427505,1.0,69.94374241427505,0.08943742414275047,17,1876,0.9970998731194489,top_10_percent
2802403,Gararu,SE,Nordeste,True,True,DOMINIO_FORTE,94,0.3723404255319149,0.6276595744680851,0.3015102917869726,0.6984897082130275,1.0,65.65803257202458,0.0708301337449424,18,1974,0.9969186151894145,top_10_percent
