rank_risco_meta_2025,rank_gap_atual_2025,id_municipio,municipio,sigla_uf,regiao,cluster_id,cluster_nome,taxa_observada_2023,taxa_observada_2024,ganho_observado_2023_2024_pp,meta_alfabetizacao_2025,gap_atual_meta_2025_pp,ganho_anual_requerido_2025_pp,cenario_tendencia_bruto_2025,cenario_tendencia_2025,deficit_trajetoria_2025_pp,participacao_2024,status_meta_2025
33,21,4311122,Jaquirana,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,68.5,25.6,-42.9,72.13,46.529999999999994,46.529999999999994,-17.299999999999997,0.0,89.42999999999999,71.79,ABAIXO_META_EM_RISCO
34,27,4313102,Nova Palma,RS,Sul,0,Urbano-industrial de maior escala,81.1,35.9,-45.199999999999996,80.0,44.1,44.1,-9.299999999999997,0.0,89.3,82.35,ABAIXO_META_EM_RISCO
35,86,2516904,Uiraúna,PB,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica",98.1,44.45,-53.64999999999999,80.0,35.55,35.55,-9.199999999999989,0.0,89.19999999999999,98.21,ABAIXO_META_EM_RISCO
36,29,4218954,Urupema,SC,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,80.2,36.34,-43.86,80.0,43.66,43.66,-7.519999999999996,0.0,87.52,86.67,ABAIXO_META_EM_RISCO
37,37,4319000,São Marcos,RS,Sul,0,Urbano-industrial de maior escala,83.8,38.3,-45.5,80.0,41.7,41.7,-7.200000000000003,0.0,87.2,87.61,ABAIXO_META_EM_RISCO
38,51,4305587,Colinas,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,86.9,39.9,-47.00000000000001,80.0,40.1,40.1,-7.1000000000000085,0.0,87.10000000000001,86.21,ABAIXO_META_EM_RISCO
39,30,4305900,Coronel Bicaco,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,79.2,36.0,-43.2,79.43,43.43000000000001,43.43000000000001,-7.200000000000003,0.0,86.63000000000001,90.48,ABAIXO_META_EM_RISCO
40,45,4300901,Aratiba,RS,Sul,0,Urbano-industrial de maior escala,85.0,39.2,-45.8,80.0,40.8,40.8,-6.599999999999994,0.0,86.6,93.18,ABAIXO_META_EM_RISCO
41,56,2513109,Salgado de São Félix,PB,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica",87.4,40.52,-46.88,80.0,39.48,39.48,-6.359999999999999,0.0,86.36,92.5,ABAIXO_META_EM_RISCO
42,53,4304952,Caseiros,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,86.1,40.0,-46.099999999999994,80.0,40.0,40.0,-6.099999999999994,0.0,86.1,80.0,ABAIXO_META_EM_RISCO
43,36,2107456,Olinda Nova do Maranhão,MA,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica",80.8,37.64,-43.16,80.0,42.36,42.36,-5.519999999999996,0.0,85.52,93.48,ABAIXO_META_EM_RISCO
44,25,1711100,Itaporã do Tocantins,TO,Norte,1,Pequeno porte agropecuario com maior infraestrutura educacional,64.2,24.0,-40.2,69.25,45.25,45.25,-16.200000000000003,0.0,85.45,83.33,ABAIXO_META_EM_RISCO
45,124,3554755,Trabiju,SP,Sudeste,1,Pequeno porte agropecuario com maior infraestrutura educacional,100.0,47.37,-52.63,80.0,32.63,32.63,-5.260000000000005,0.0,85.26,95.0,ABAIXO_META_EM_RISCO
46,79,3515657,Fernão,SP,Sudeste,1,Pequeno porte agropecuario com maior infraestrutura educacional,92.9,44.0,-48.900000000000006,80.0,36.0,36.0,-4.900000000000006,0.0,84.9,92.59,ABAIXO_META_EM_RISCO
47,49,2106359,Marajá do Sena,MA,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica",83.3,39.77,-43.529999999999994,80.0,40.23,40.23,-3.759999999999991,0.0,83.75999999999999,87.23,ABAIXO_META_EM_RISCO
48,35,4322541,Vale Real,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,76.3,35.0,-41.3,77.4,42.400000000000006,42.400000000000006,-6.299999999999997,0.0,83.7,83.33,ABAIXO_META_EM_RISCO
49,64,4305850,Coqueiros do Sul,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,86.6,41.7,-44.89999999999999,80.0,38.3,38.3,-3.1999999999999886,0.0,83.19999999999999,80.0,ABAIXO_META_EM_RISCO
50,44,4307500,Espumoso,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional,81.3,39.1,-42.199999999999996,80.0,40.9,40.9,-3.0999999999999943,0.0,83.1,81.25,ABAIXO_META_EM_RISCO
