ano_meta,municipios_com_historico,municipios_meta_ja_atingida_2024,municipios_risco_cenario_tendencia,municipios_abaixo_meta_em_risco,municipios_meta_atingida_mas_trajetoria_risco,share_risco_cenario_tendencia,gap_atual_medio_pp,ganho_anual_requerido_medio_pp,deficit_trajetoria_medio_entre_risco_pp
2025,5232,2308,2532,2450,82,0.48394495412844035,2.1688761467889908,7.00180619266055,23.12437598736177
2026,5232,1954,2574,2446,128,0.4919724770642202,5.442173165137614,4.572834480122324,34.898768453768454
2027,5232,1644,2587,2442,145,0.4944571865443425,8.614363532110092,3.841790265035678,46.75308078855818
2028,5232,1407,2594,2432,162,0.49579510703363916,11.595898318042813,3.4951997324159025,58.468585196607556
2029,5232,1244,2586,2417,169,0.49426605504587157,14.316049311926603,3.271914373088685,70.30467130703789
2030,5232,1127,2581,2399,182,0.4933103975535168,16.733413608562692,3.0900560652395512,81.86742347927161
