id_municipio,municipio,sigla_uf,regiao,status_dominio_modelo,n_alunos,probabilidade_media_risco,carga_risco_estimada,taxa_sinalizada_risco,taxa_risco_real,taxa_alfabetizacao_real,rank_probabilidade_risco_geral,rank_carga_risco_geral,percentil_risco_modelo,faixa_risco_relativo
3163409,São José do Goiabal,MG,Sudeste,DOMINIO_INTERMEDIARIO,50,0.363236584300512,18.161829215025598,0.0,0.14,0.86,2789,4100,0.494652891063984,ate_P50
3112505,Capim Branco,MG,Sudeste,DOMINIO_INTERMEDIARIO,110,0.3590074234483417,39.49081657931759,0.0,0.2181818181818181,0.7818181818181819,2905,2798,0.47362697117998914,ate_P50
3145406,Olaria,MG,Sudeste,DOMINIO_INTERMEDIARIO,17,0.3439627814135572,5.847367284030472,0.0,0.1176470588235294,0.8823529411764706,3246,5285,0.41181801703824544,ate_P50
3166600,Serra da Saudade,MG,Sudeste,DOMINIO_INTERMEDIARIO,10,0.3104366586775564,3.104366586775564,0.0,0.1,0.9,3986,5484,0.2776871488127606,ate_P50
3142502,Monjolos,MG,Sudeste,DOMINIO_INTERMEDIARIO,30,0.307100799032469,9.21302397097407,0.0,0.0666666666666666,0.9333333333333332,4043,4956,0.26735544680079754,ate_P50
4300471,Almirante Tamandaré do Sul,RS,Sul,DOMINIO_INTERMEDIARIO,11,0.264429434698182,2.908723781680002,0.0,0.6363636363636364,0.3636363636363636,4626,5495,0.1616820735907196,ate_P50
4310751,Ivorá,RS,Sul,DOMINIO_INTERMEDIARIO,15,0.2459010362274354,3.688515543411531,0.0,0.4,0.6,4876,5452,0.11636759108210984,ate_P50
4128625,Alto Paraíso,PR,Sul,DOMINIO_INTERMEDIARIO,44,0.2390609598599924,10.518682233839666,0.0,0.2954545454545454,0.7045454545454546,4957,4829,0.10168569874932028,ate_P50
4309258,Guabiju,RS,Sul,DOMINIO_INTERMEDIARIO,15,0.2342319320545011,3.5134789808175166,0.0,0.3333333333333333,0.6666666666666666,5024,5459,0.08954141743701287,ate_P50
4306759,Doutor Ricardo,RS,Sul,DOMINIO_INTERMEDIARIO,15,0.2332083200774929,3.4981248011623935,0.0,0.2,0.8,5040,5460,0.08664129055646184,ate_P50
4318432,São João do Polêsine,RS,Sul,DOMINIO_INTERMEDIARIO,13,0.2315787391171205,3.0105236085225666,0.0,0.0769230769230769,0.9230769230769232,5058,5489,0.08337864781584195,ate_P50
1200435,Santa Rosa do Purus,AC,Norte,FORA_DOMINIO_UF,58,0.5913088483591045,34.29591320482806,1.0,0.8448275862068966,0.1551724137931034,570,3025,0.8968642378104043,P75_P90
1200054,Assis Brasil,AC,Norte,FORA_DOMINIO_UF,103,0.5888094825470465,60.64737670234579,1.0,0.4951456310679611,0.5048543689320388,589,2071,0.8934203371397499,P75_P90
1200179,Capixaba,AC,Norte,FORA_DOMINIO_UF,151,0.5660135236303601,85.46804206818437,1.0,0.6423841059602649,0.3576158940397351,736,1562,0.8667754214246873,P75_P90
1200393,Porto Walter,AC,Norte,FORA_DOMINIO_UF,87,0.562243420425721,48.915177577037724,1.0,0.5977011494252874,0.4022988505747126,755,2431,0.863331520754033,P75_P90
1200500,Sena Madureira,AC,Norte,FORA_DOMINIO_UF,482,0.5611680806641058,270.483014880099,1.0,0.3443983402489626,0.6556016597510373,761,491,0.8622439731738264,P75_P90
