cluster_id,cluster_codigo,feature,grupo_feature,n_municipios,raw_mean,raw_median,raw_q25,raw_q75,scaled_mean,centroid_z_model_space
0,cluster_0,populacao_2020,socioeconomica,1374,111298.91120815139,35385.0,17996.0,84834.5,0.9537122938354021,0.9561008409509969
0,cluster_0,pib_por_habitante_2020,socioeconomica,1374,45735.611517028345,35766.50507607288,25382.27680672911,50413.89399513341,0.8429533230705759,0.8419847510537053
0,cluster_0,participacao_agropecuaria_2020,socioeconomica,1374,0.08849525527049011,0.056077298500528,0.016773535736133376,0.12508136064092398,-0.7399152383121625,-0.7394172298489882
0,cluster_0,participacao_industria_2020,socioeconomica,1374,0.30396572485453804,0.272440668249251,0.17290677934341647,0.40220058564841643,1.1822656627172434,1.1818556933193713
0,cluster_0,participacao_administracao_publica_2020,socioeconomica,1374,0.1732528998526491,0.15858755573895755,0.11911195880260173,0.21687249707482764,-0.8810154815070087,-0.8806165266127647
0,cluster_0,quantidade_escolas_anos_iniciais,educacional,1374,16.829694323144103,9.0,5.0,18.875,0.4208223477081022,0.4238610169149391
0,cluster_0,proporcao_escolas_rurais,educacional,1374,0.2506100540733836,0.2,0.0,0.4166666666666667,-0.5170450890963527,-0.5151538710194904
0,cluster_0,proporcao_internet_aprendizagem,educacional,1374,0.8005498842334264,0.8888888888888888,0.6666666666666667,1.0,0.3294606448045602,0.32877020613783586
0,cluster_0,proporcao_biblioteca_sala_leitura,educacional,1374,0.7036602613050549,0.75,0.5152897823738232,0.9285714285714286,0.34432045039264475,0.34505373150470603
0,cluster_0,proporcao_laboratorio_informatica,educacional,1374,0.4985695733322186,0.5,0.2142857142857143,0.7724333855799372,0.33360642210975655,0.33174011525006797
0,cluster_0,alunos_por_turma_anos_iniciais,educacional,1374,22.03792436407633,21.986238242535194,19.94174403183024,23.988977815489996,0.393073048738727,0.3944651033959896
0,cluster_0,razao_matriculas_docentes_anos_iniciais,educacional,1374,17.419485527529176,16.558990623276337,14.158584608460847,19.996575342465754,0.12121096567940627,0.1226938519297599
0,cluster_0,proporcao_matriculas_integral_anos_iniciais,educacional,1374,0.13172935827700083,0.05727940344011235,0.012453219226418275,0.16776078224781238,-0.20586102933094852,-0.2057817146987913
1,cluster_1,populacao_2020,socioeconomica,1985,7210.973803526448,5340.0,3330.0,9128.0,-0.7150297798564801,-0.7146387738899088
1,cluster_1,pib_por_habitante_2020,socioeconomica,1985,31531.742121005074,26470.80592105263,18387.376607837272,38015.02762430939,0.37338530049521945,0.37396927478035835
1,cluster_1,participacao_agropecuaria_2020,socioeconomica,1985,0.3402991362038295,0.3332394282664136,0.2128305106841911,0.4594081564501104,0.7615088392016298,0.7600161208636877
1,cluster_1,participacao_industria_2020,socioeconomica,1985,0.09252736740618331,0.0615527693579498,0.0418331524861173,0.112752992383025,-0.3055465825721751,-0.30432178359493606
1,cluster_1,participacao_administracao_publica_2020,socioeconomica,1985,0.26084346695388033,0.2381116238901033,0.1702278577861372,0.3288843024545005,-0.36439404487743593,-0.3651740989186444
1,cluster_1,quantidade_escolas_anos_iniciais,educacional,1985,2.6599496221662466,2.0,1.0,3.0,-0.8550800490925548,-0.8548908890635316
1,cluster_1,proporcao_escolas_rurais,educacional,1985,0.24977150131233386,0.0,0.0,0.5,-0.5196049244285708,-0.5196422606762904
1,cluster_1,proporcao_internet_aprendizagem,educacional,1985,0.8440909733247,1.0,0.75,1.0,0.45667818581798697,0.4561898413448162
1,cluster_1,proporcao_biblioteca_sala_leitura,educacional,1985,0.7809791225537612,1.0,0.5833333333333333,1.0,0.5644306772564115,0.5636531992270036
1,cluster_1,proporcao_laboratorio_informatica,educacional,1985,0.5419160394233309,0.5,0.0,1.0,0.4503492610081265,0.45099175524473417
1,cluster_1,alunos_por_turma_anos_iniciais,educacional,1985,18.09467680550673,18.08333333333333,15.884615384615383,20.352941176470587,-0.5431900648375955,-0.5420788992747517
1,cluster_1,razao_matriculas_docentes_anos_iniciais,educacional,1985,14.105358535739516,13.6,11.3125,16.416666666666664,-0.4807767131592818,-0.4793481347250201
1,cluster_1,proporcao_matriculas_integral_anos_iniciais,educacional,1985,0.13022630104826363,0.0094339622641509,0.0,0.1304347826086956,-0.21106457491959452,-0.21134648034520817
2,cluster_2,populacao_2020,socioeconomica,2158,20096.570435588506,13977.0,7614.75,24308.0,0.050478879186875,0.050081367285448
2,cluster_2,pib_por_habitante_2020,socioeconomica,2158,12032.005082297272,10660.671407758291,8791.584603229257,13509.84655418339,-0.8801611155616214,-0.8810278207143257
2,cluster_2,participacao_agropecuaria_2020,socioeconomica,2158,0.17412106380344614,0.1394492865636116,0.08490173220770363,0.22830553724501684,-0.22935658404741646,-0.22991289039626692
2,cluster_2,participacao_industria_2020,socioeconomica,2158,0.06891507196881794,0.04866896339744145,0.03761663040649417,0.07264403185153413,-0.4716974301055256,-0.4720297593417273
2,cluster_2,participacao_administracao_publica_2020,socioeconomica,2158,0.47455810983375163,0.4819111890933587,0.3814934472607934,0.5720937173799916,0.8961248612939485,0.8975197586686418
2,cluster_2,quantidade_escolas_anos_iniciais,educacional,2158,16.73123262279889,10.0,6.0,20.0,0.5185931379507828,0.5183496805352911
2,cluster_2,proporcao_escolas_rurais,educacional,2158,0.6843917806857576,0.7441860465116279,0.5555555555555556,0.8421052631578947,0.8071527930533372,0.8072147862403657
2,cluster_2,proporcao_internet_aprendizagem,educacional,2158,0.47222408175547204,0.4615384615384615,0.1745524296675192,0.75,-0.6298355536655098,-0.6300124757053569
2,cluster_2,proporcao_biblioteca_sala_leitura,educacional,2158,0.32332549395393856,0.268543956043956,0.1111111111111111,0.5,-0.7384111182546198,-0.7394718615117079
2,cluster_2,proporcao_laboratorio_informatica,educacional,2158,0.14202625428398763,0.0476190476190476,0.0,0.22222222222222218,-0.6266536177386172,-0.6271107549466032
