id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas
1100015,22728.0,25089.845124956002,0.3800812134553466,0.03871000293385009,0.30046922914490415,12.0,0.3333333333333333,0.4166666666666667,0.5000000000000001,0.0,23.586206896551722,22.06451612903226,0.0,RO,Norte,0,1,1
1100023,109523.0,25723.647087826303,0.0792021687077614,0.16049381247308347,0.28166314124756214,22.0,0.3181818181818182,0.8636363636363635,0.7727272727272728,0.9545454545454544,24.586206896551722,22.907630522088354,0.010694249649368864,RO,Norte,0,1,1
1100031,5188.0,32219.15959907479,0.507619577655909,0.03399263367872084,0.27917607258765487,3.0,0.0,0.0,0.33333333333333337,0.33333333333333337,14.153846153846153,13.142857142857142,0.0,RO,Norte,0,1,1
1100049,85893.0,29325.381579406938,0.10524629723195755,0.12275207382634662,0.25645494880150704,16.5,0.5444444444444445,0.9388888888888888,0.5166666666666666,0.28888888888888886,21.2406260749914,19.53383641674781,0.00318641151891529,RO,Norte,0,1,2
1100056,16204.0,37066.77363613922,0.18554242345919783,0.046171197631523296,0.22635439429184584,4.0,0.0,1.0,0.5,0.0,21.767441860465116,19.914893617021278,0.0,RO,Norte,0,1,1
1100064,15544.0,23605.37828100875,0.25936642292334483,0.07093834859281253,0.3238587474879465,8.0,0.5,0.875,0.75,0.625,21.11627906976744,20.636363636363637,0.2643171806167401,RO,Norte,0,1,1
1100072,7220.0,37168.0055401662,0.6029269350852592,0.04201368175585116,0.2204381880582908,3.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,19.615384615384617,19.615384615384617,0.0,RO,Norte,0,1,1
1100080,18798.0,13934.67390147888,0.31932813019456363,0.02455396013741352,0.46487089777890356,5.0,0.2,0.4,0.8,0.0,21.34,20.132075471698112,0.004686035613870665,RO,Norte,0,1,1
1100098,32695.0,20379.90518427894,0.22663460716141806,0.08966409883625312,0.33246551191047896,7.5,0.5892857142857143,0.9375,0.5535714285714286,0.19642857142857145,20.65678879310345,23.0125,0.0,RO,Norte,0,1,2
1100106,46556.0,21149.024830311882,0.07026428382113513,0.04928107606679035,0.3561276551436901,20.5,0.46875,0.546875,0.4270833333333333,0.2534722222222222,24.497747747747745,22.800118506814144,0.02431401151631478,RO,Norte,0,1,2
1100114,51620.0,32257.865168539327,0.1516660976164927,0.13262730465320458,0.23291426852664782,7.5,0.29166666666666663,1.0,0.5416666666666666,0.375,18.607169253510715,15.443333333333333,0.0,RO,Norte,0,1,2
