id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1301209,AM,Norte,1,0,1,3,1,5,4,1,4
1301308,AM,Norte,1,2,1,2,3,4,1,3,6
1301407,AM,Norte,1,2,1,3,1,5,2,3,6
1301506,AM,Norte,1,2,1,3,1,5,2,0,5
1301605,AM,Norte,1,2,1,3,1,5,2,0,5
1301654,AM,Norte,1,2,1,3,1,5,2,0,3
1301704,AM,Norte,1,2,1,3,1,5,2,0,5
1301803,AM,Norte,1,2,1,3,1,5,2,0,5
1301852,AM,Norte,1,2,1,3,1,5,2,0,5
1301902,AM,Norte,1,2,1,3,1,5,2,0,5
1301951,AM,Norte,1,2,3,0,2,6,5,7,3
1302009,AM,Norte,1,2,1,3,1,5,2,0,5
1302108,AM,Norte,1,2,3,0,2,6,5,7,0
1302207,AM,Norte,1,2,3,0,2,6,5,7,3
1302306,AM,Norte,1,2,1,3,1,5,2,0,5
1302405,AM,Norte,1,2,1,3,1,5,2,0,5
1302504,AM,Norte,1,2,1,3,1,5,2,0,5
1302553,AM,Norte,1,2,1,3,1,5,2,0,3
1302603,AM,Norte,0,0,0,1,0,3,4,1,4
1302702,AM,Norte,1,2,1,3,1,5,2,0,3
1302801,AM,Norte,1,2,1,3,1,5,2,0,3
1302900,AM,Norte,1,2,1,3,1,5,2,0,5
1303007,AM,Norte,1,2,1,3,1,5,2,0,3
1303106,AM,Norte,1,2,1,3,1,5,2,0,3
1303205,AM,Norte,1,2,3,0,5,0,7,8,9
1303304,AM,Norte,1,2,3,0,2,6,5,7,3
1303403,AM,Norte,1,2,1,3,1,5,2,0,5
1303502,AM,Norte,1,2,1,3,1,5,2,0,5
1303536,AM,Norte,1,0,0,1,0,3,4,1,4
1303569,AM,Norte,1,2,1,3,1,5,2,0,5
1303601,AM,Norte,1,2,3,0,2,6,5,7,3
1303700,AM,Norte,1,2,3,0,2,5,2,0,3
1303809,AM,Norte,1,2,1,3,1,5,2,0,3
1303908,AM,Norte,1,2,1,3,1,5,2,0,5
1303957,AM,Norte,1,2,3,0,2,6,5,7,3
1304005,AM,Norte,1,2,3,0,2,6,5,7,3
1304062,AM,Norte,1,2,1,3,1,5,2,0,5
1304104,AM,Norte,1,2,3,0,2,6,5,7,3
1304203,AM,Norte,1,2,1,3,1,5,2,0,5
1304237,AM,Norte,1,2,3,0,2,6,2,0,3
1304260,AM,Norte,1,2,1,3,1,5,2,0,5
1304302,AM,Norte,1,2,1,3,5,0,7,3,6
1304401,AM,Norte,1,2,3,0,2,6,5,7,3
1500107,PA,Norte,1,2,1,3,1,5,2,0,5
1500131,PA,Norte,1,2,1,3,1,5,2,0,5
1500206,PA,Norte,1,2,1,3,1,5,2,0,5
1500305,PA,Norte,1,2,1,3,1,5,2,0,5
1500347,PA,Norte,1,2,1,3,1,5,1,3,6
1500404,PA,Norte,1,2,1,3,1,5,2,0,5
1500503,PA,Norte,1,2,1,3,1,5,2,0,5
1500602,PA,Norte,1,2,1,3,1,5,2,0,5
1500701,PA,Norte,1,2,1,3,1,5,2,0,5
1500800,PA,Norte,1,0,1,3,1,3,4,1,4
1500859,PA,Norte,1,2,1,3,1,5,2,0,5
1500909,PA,Norte,1,2,1,3,1,5,2,0,5
1500958,PA,Norte,1,2,1,3,1,5,2,0,3
1501006,PA,Norte,1,2,1,3,1,5,2,0,3
1501105,PA,Norte,1,2,1,3,1,5,2,0,5
1501204,PA,Norte,1,2,1,3,1,5,2,0,5
1501253,PA,Norte,1,2,1,2,3,4,1,3,6
1501303,PA,Norte,1,0,0,1,0,3,4,1,4
