id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,cluster_id,cluster_codigo,pca_1,pca_2,municipio,n_alunos,probabilidade_media_risco,taxa_risco_real,taxa_alfabetizacao_real,status_dominio_modelo
1100015,22728.0,25089.845124956,0.3800812134553466,0.03871000293385,0.3004692291449041,12.0,0.3333333333333333,0.4166666666666667,0.5000000000000001,0.0,23.58620689655172,22.06451612903226,0.0,RO,Norte,0,1,1,2,cluster_2,-0.9034039240640652,0.5258660804086391,Alta Floresta D'Oeste,275,0.3447742323213947,0.32,0.68,DOMINIO_FORTE
1100023,109523.0,25723.647087826303,0.0792021687077614,0.1604938124730834,0.2816631412475621,22.0,0.3181818181818182,0.8636363636363635,0.7727272727272728,0.9545454545454544,24.58620689655172,22.907630522088358,0.0106942496493688,RO,Norte,0,1,1,0,cluster_0,0.0777004074556548,2.676845575242492,Ariquemes,1066,0.3160448405605628,0.3414634146341463,0.6585365853658537,DOMINIO_FORTE
1100031,5188.0,32219.15959907479,0.507619577655909,0.0339926336787208,0.2791760725876548,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.153846153846152,13.142857142857142,0.0,RO,Norte,0,1,1,1,cluster_1,0.865245085403189,-1.9121874854758076,Cabixi,75,0.337299683464236,0.24,0.76,DOMINIO_FORTE
1100049,85893.0,29325.381579406938,0.1052462972319575,0.1227520738263466,0.256454948801507,16.5,0.5444444444444445,0.9388888888888888,0.5166666666666666,0.2888888888888888,21.2406260749914,19.53383641674781,0.0031864115189152,RO,Norte,0,1,2,0,cluster_0,-0.4332834953726033,1.7939269472590698,Cacoal,951,0.3278017031886988,0.3364879074658254,0.6635120925341745,DOMINIO_FORTE
1100056,16204.0,37066.77363613922,0.1855424234591978,0.0461711976315232,0.2263543942918458,4.0,0.0,1.0,0.5,0.0,21.76744186046512,19.91489361702128,0.0,RO,Norte,0,1,1,1,cluster_1,0.6930552241891808,0.588044601977361,Cerejeiras,244,0.3203739478126209,0.3319672131147541,0.6680327868852459,DOMINIO_FORTE
1100064,15544.0,23605.37828100875,0.2593664229233448,0.0709383485928125,0.3238587474879465,8.0,0.5,0.875,0.75,0.625,21.11627906976744,20.63636363636364,0.2643171806167401,RO,Norte,0,1,1,1,cluster_1,0.155668557760608,0.2743555431514674,Colorado do Oeste,175,0.3224334930357059,0.28,0.72,DOMINIO_FORTE
1100072,7220.0,37168.0055401662,0.6029269350852592,0.0420136817558511,0.2204381880582908,3.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,19.615384615384617,19.615384615384617,0.0,RO,Norte,0,1,1,1,cluster_1,0.7452643514214778,-0.8788321878412487,Corumbiara,129,0.3212079510371225,0.2790697674418604,0.7209302325581395,DOMINIO_FORTE
1100080,18798.0,13934.67390147888,0.3193281301945636,0.0245539601374135,0.4648708977789035,5.0,0.2,0.4,0.8,0.0,21.34,20.132075471698112,0.0046860356138706,RO,Norte,0,1,1,2,cluster_2,-0.773158944793969,-0.4593456442652568,Costa Marques,197,0.3086317770702829,0.4010152284263959,0.5989847715736041,DOMINIO_FORTE
1100098,32695.0,20379.90518427894,0.226634607161418,0.0896640988362531,0.3324655119104789,7.5,0.5892857142857143,0.9375,0.5535714285714286,0.1964285714285714,20.65678879310345,23.0125,0.0,RO,Norte,0,1,2,2,cluster_2,-0.5862676491827842,0.6810537123997012,Espigão D'Oeste,392,0.2933692589916607,0.3035714285714285,0.6964285714285714,DOMINIO_FORTE
1100106,46556.0,21149.02483031188,0.0702642838211351,0.0492810760667903,0.3561276551436901,20.5,0.46875,0.546875,0.4270833333333333,0.2534722222222222,24.497747747747745,22.800118506814144,0.0243140115163147,RO,Norte,0,1,2,2,cluster_2,-1.597589277479616,1.528160123822246,Guajará-Mirim,488,0.4899054401059499,0.5471311475409836,0.4528688524590163,DOMINIO_FORTE
