id_municipio,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,pca_1,pca_2
1100015,RO,Norte,0,1,1,-0.9034039240640653,0.5258660804086391
1100023,RO,Norte,0,1,1,0.07770040745565485,2.676845575242492
1100031,RO,Norte,0,1,1,0.865245085403189,-1.9121874854758074
1100049,RO,Norte,0,1,2,-0.4332834953726033,1.7939269472590698
1100056,RO,Norte,0,1,1,0.6930552241891808,0.588044601977361
1100064,RO,Norte,0,1,1,0.155668557760608,0.2743555431514674
1100072,RO,Norte,0,1,1,0.7452643514214778,-0.8788321878412487
1100080,RO,Norte,0,1,1,-0.773158944793969,-0.45934564426525687
1100098,RO,Norte,0,1,2,-0.5862676491827842,0.6810537123997012
1100106,RO,Norte,0,1,2,-1.5975892774796159,1.528160123822246
1100114,RO,Norte,0,1,2,0.7355633108029096,0.9972222708939562
1100122,RO,Norte,0,1,2,0.025583958820069662,2.7368202847924485
1100130,RO,Norte,0,1,1,-1.878029933909316,0.18730326093962799
1100148,RO,Norte,0,1,1,0.3880261656157127,-0.3074490440969892
1100155,RO,Norte,0,1,1,0.2269310286877451,1.3913380233732389
1100189,RO,Norte,0,1,1,-0.8201281434114844,2.015778939116134
1100205,RO,Norte,1,1,2,-1.266713285518116,3.736887107889553
1100254,RO,Norte,0,1,2,1.0228941560638383,-0.2853156776052745
1100262,RO,Norte,0,1,1,1.8785572866576992,-1.039404362342647
1100288,RO,Norte,0,1,2,1.0530701684929376,1.32123675074935
1100296,RO,Norte,0,1,1,0.6771249017879009,-1.031387824276088
1100304,RO,Norte,0,1,1,-0.8852215785973286,2.459433065537176
1100320,RO,Norte,0,1,1,-0.7816938934532822,0.4720187324795337
1100338,RO,Norte,0,1,1,-2.3006134914811693,0.7691333839402396
1100346,RO,Norte,0,1,2,0.2699221765612319,-0.1491417607464237
1100379,RO,Norte,0,1,1,-0.5428538764471977,-0.14212837764568903
1100403,RO,Norte,0,1,1,-0.10659954432823543,-0.6311118156973249
1100452,RO,Norte,0,1,1,-1.3014869911462363,0.610035974812928
1100502,RO,Norte,0,1,1,2.2477251631764865,-0.6805294418778678
1100601,RO,Norte,0,1,1,1.1173168128061421,-2.2958196836768097
1100700,RO,Norte,0,1,1,-0.7513400244747664,-0.9146842163601369
1100809,RO,Norte,0,1,1,-1.17991890219954,1.3402905311612467
1100908,RO,Norte,0,1,1,-0.5107157736804343,-1.9398346664060153
1100924,RO,Norte,0,1,1,-0.7450585509369554,0.4468749122908795
1100940,RO,Norte,0,1,1,-0.7231768486053849,0.43204919519501783
1101005,RO,Norte,0,1,1,-0.12827303585046723,-1.1047510918973504
1101104,RO,Norte,0,1,1,-0.16598368283290513,0.12028491777669437
1101203,RO,Norte,0,1,1,-0.08364729099199343,0.1280245478720776
1101302,RO,Norte,0,1,1,-0.7532483552314939,0.2521173594142422
1101401,RO,Norte,0,1,1,-0.6653458303411931,0.6111932185057953
1101435,RO,Norte,0,1,1,-0.3184641316818767,-1.1523689166505873
1101450,RO,Norte,0,1,1,-0.7508647963093356,-1.5823088299820094
1101468,RO,Norte,0,1,1,2.147971318454102,-2.0219255895373838
1101476,RO,Norte,0,1,1,0.03683620107099961,-1.4482994714078032
1101484,RO,Norte,0,1,1,1.7327363338008213,-1.4765180758030438
1101492,RO,Norte,0,1,1,-0.9643430671134144,-0.1555104391572133
1101500,RO,Norte,0,1,1,-0.7231920333449045,-0.7028472796695863
1101559,RO,Norte,0,1,1,1.599133361624178,-1.7665588196692763
1101609,RO,Norte,0,1,1,-1.059509395585705,0.03955516371985951
1101708,RO,Norte,0,1,1,-0.4214934109344607,0.42350596711198546
1101757,RO,Norte,0,1,1,-1.7455078924743188,-1.1485466157716357
1101807,RO,Norte,0,1,1,0.9055327823474935,-1.2994475010236612
1200013,AC,Norte,0,1,1,-1.7899794395559034,0.25235029925863406
1200054,AC,Norte,0,1,1,-4.760642873040305,1.2275788939448262
1200104,AC,Norte,0,1,2,-2.5915856939783435,1.4771266501915743
1200138,AC,Norte,0,1,2,-2.4186356027676967,-0.25977739938952954
1200179,AC,Norte,0,1,1,-3.667657620056298,0.29844302529154004
1200203,AC,Norte,0,1,2,-3.7578322666164996,2.9097944258844066
1200252,AC,Norte,0,1,1,-2.4860253976814968,1.3900325575495809
1200302,AC,Norte,0,1,2,-5.8142651704200015,2.9530431055681694
1200328,AC,Norte,0,1,2,-7.739230890728139,4.43030786970051
1200336,AC,Norte,0,1,1,-4.156494977327557,0.6721824921891947
1200344,AC,Norte,0,1,1,-4.162694574623875,1.5270614145894321
1200351,AC,Norte,0,1,1,-5.31017663181463,1.5430631299055841
1200385,AC,Norte,0,1,2,-2.239382621289036,-0.20698771880064443
1200393,AC,Norte,0,1,1,-4.663397005341828,0.4947600664434912
1200401,AC,Norte,1,1,2,-2.0515196218357494,3.1216236480659725
1200427,AC,Norte,0,1,1,-3.876708777039289,0.12782626746352968
1200435,AC,Norte,0,1,1,-5.760108721391595,2.126074066935334
1200450,AC,Norte,0,1,2,-2.3913783825180075,-0.046934436365739386
1200500,AC,Norte,0,1,2,-5.725994682129582,3.57709230995435
1200609,AC,Norte,0,1,2,-5.242575477565685,2.7065945373277858
1200708,AC,Norte,0,1,2,-4.6977534998250645,2.4568455241073544
1200807,AC,Norte,0,1,1,-3.7477785427863815,0.361580383277289
1300029,AM,Norte,0,1,2,-2.9039612213077186,0.34557471150126184
1300060,AM,Norte,0,1,1,-3.0584564307193656,-0.6554605028004191
1300086,AM,Norte,0,1,2,-2.2388929573309855,-0.5921439178301018
1300102,AM,Norte,0,1,2,-0.9435073267311664,-0.9773910633794692
1300144,AM,Norte,0,1,2,-0.3312984528923552,-0.1603795622079651
1300201,AM,Norte,0,1,1,-5.381414861942397,1.8983899278475647
1300300,AM,Norte,0,1,2,-2.070831128140738,0.5953231218326626
1300409,AM,Norte,0,1,2,-3.056476908830083,0.03832042472478578
