k,inertia,silhouette_score,davies_bouldin_score,calinski_harabasz_score,min_cluster_size,median_cluster_size,max_cluster_size,smallest_cluster_share,largest_cluster_share,runtime_seconds
2,55324.62187226275,0.21359233837355268,1.7420730018008435,1634.4638466865276,2474,2758.5,3043,0.4484321189052021,0.5515678810947979,1.9520139999949606
3,47408.3263952758,0.20343621793165428,1.6428654439825403,1413.8940081886951,1374,1985.0,2158,0.2490483958673192,0.39115461301431936,0.2570511000085389
4,43918.45159210796,0.16114028026409913,1.8938470650137802,1163.3351522190515,1200,1263.5,1790,0.21750951604132682,0.3244516947616458,0.3137243000091985
5,41446.49705136501,0.14417437837025115,2.001497307727589,1006.5579030575589,907,1123.0,1218,0.1644009425412362,0.2207721587819467,0.3457401000050595
6,39134.46657415175,0.14806464981345174,1.8776628008505891,917.781185899514,562,950.0,1144,0.10186695667935472,0.20735907195939823,0.40746080000826623
7,36995.86630437378,0.14590437920865207,1.8853982917492254,861.970157312073,485,835.0,1041,0.08791009606670291,0.188689505165851,0.5352394999936223
8,35547.93638380885,0.1384168169314258,1.8321806486364431,800.841513895161,506,676.0,856,0.09171651259742614,0.15515678810947978,0.5561142000078689
9,34381.80835900958,0.13666400597868536,1.8189927672287993,747.7219690245067,438,530.0,826,0.07939097335508428,0.1497190502084466,0.5523754999885568
10,33384.51787903926,0.12416430341988037,1.849783713117438,702.6521086475976,370,538.5,739,0.06706543411274243,0.13394961029545044,0.6051207999989856
