feature_set,model,fold,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,accuracy,balanced_accuracy,roc_auc_literate,pr_auc_risk,precision_risk,recall_risk,f1_risk,recall_literate,actual_risk_rate,predicted_risk_rate
enriched_uf,hist_gradient_boosting,1,18,45,1202247,300562,3899,972,0,16.507377599999018,0.6107026170973043,0.5703117876673155,0.6308668018508017,0.5305976789534649,0.5592680112106391,0.3240154095959757,0.410313268556223,0.8166081657386552,0.4180036065770124,0.24217299592097472
enriched_uf,hist_gradient_boosting,2,18,45,1202247,300562,3897,974,0,13.33667310000601,0.609930729766238,0.5690591186520485,0.6328803612746862,0.5398295643783146,0.5730252138209092,0.3041709614219509,0.39739715043483625,0.8339472758821461,0.42285119210013244,0.22445618541266027
enriched_uf,hist_gradient_boosting,3,18,45,1202247,300562,3896,975,0,12.96976729999733,0.635768992753575,0.5900491539403122,0.6474589021730803,0.551610343933087,0.6039244506504006,0.33238684625652226,0.4287816331854944,0.8477114616241022,0.41127953633526526,0.22635928693580692
enriched_uf,hist_gradient_boosting,4,18,45,1202247,300562,3896,975,0,13.163705800005118,0.6262801019423613,0.5878073544348352,0.6490748493179209,0.5522925781978756,0.5882438720453913,0.3531785512460303,0.44136428741943184,0.8224361576236401,0.41801358787870724,0.25097317691524546
enriched_uf,hist_gradient_boosting,5,18,45,1202248,300561,3896,975,0,13.385955699995975,0.6299220457744019,0.5891296746784085,0.6481251433504087,0.5385610687529561,0.5790684376055936,0.3610807218859148,0.4448027153160798,0.8171786274709023,0.41056224859512713,0.25600793183413684
