candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,train_evaluation_rows,runtime_seconds,train_sample_pr_auc_risk,validation_pr_auc_risk,estimated_pr_auc_gap_train_validation,train_sample_roc_auc_literate,validation_roc_auc_literate,estimated_roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,criterion
0,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,250.32498029999988,0.5840365795144754,0.5257742659908792,0.05826231352359623,0.6772615054806775,0.626338748945235,0.05092275653544254,0.610556224672447,0.5640553291592826,0.5693398817409286,0.28050081186920944,0.37583584843281753,0.8476098464493558,0.4180036065770124,0.20594087076875986,150,12.0,100,50,sqrt,,gini
0,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,119.26175019999937,0.5819659310877289,0.5418380603500985,0.040127870737630356,0.6794778221724913,0.6350221916342248,0.04445563053826651,0.6055489383222097,0.553753558564404,0.5910137757495628,0.218068658384018,0.3185870208693753,0.8894384587447901,0.42285119210013244,0.15602105389237494,150,12.0,100,50,sqrt,,gini
0,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,123.42388270000083,0.5790574937759103,0.5493218674537591,0.02973562632215121,0.6765150602726497,0.6502047776765616,0.02631028259608814,0.6227367398406984,0.5673346939293735,0.5967339060666843,0.2551065809165554,0.3574160862740209,0.8795628069421917,0.41127953633526526,0.1758239564549078,150,12.0,100,50,sqrt,,gini
0,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,240.46391330000188,0.5844795052711488,0.5524273208306343,0.0320521844405145,0.678694500218466,0.6503318912909765,0.02836260892748954,0.6280667549457349,0.5816572307109514,0.6131757861018501,0.29862542681810583,0.40164430194779127,0.8646890346037971,0.41801358787870724,0.20357862936765125,150,12.0,100,50,sqrt,,gini
0,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,105.66508610000164,0.581869630000179,0.5347884105346689,0.04708121946551014,0.6737964967368346,0.6440551064138241,0.029741390323010486,0.6292699318940248,0.5782058848358831,0.599313136675847,0.2927333284710573,0.3933403385364207,0.8636784412007089,0.41056224859512713,0.2005383266624745,150,12.0,100,50,sqrt,,gini
1,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,374.729032999996,0.5934651079700581,0.5268928077700137,0.06657230020004445,0.6867228386410991,0.628582164716875,0.05814067392422406,0.6111717382769611,0.5662516452420789,0.5677802340501182,0.2923365914228406,0.3859544038292797,0.8401666990613174,0.4180036065770124,0.21522015424438218,150,,400,150,log2,,gini
1,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,198.61218189999636,0.5913942812656002,0.5435322403430424,0.04786204092255786,0.6884929917056626,0.6372379405087334,0.05125505119692919,0.6082804878860268,0.557880634570744,0.5946662350013152,0.23124011550596807,0.33299341695276297,0.8845211536355199,0.42285119210013244,0.16442863701998256,150,,400,150,log2,,gini
1,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,197.2226959000036,0.588426912071342,0.5491301991386743,0.03929671293266768,0.6852650180474981,0.6513918755519589,0.03387314249553919,0.6296304922112576,0.5787426081972733,0.6026651526284149,0.29195485984710595,0.39335364225418123,0.8655303565474407,0.41127953633526526,0.1992400902309673,150,,400,150,log2,,gini
1,4,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,402.6887671000004,0.5938149458171047,0.5512487047638751,0.04256624105322959,0.6881571588134539,0.6489740269219485,0.03918313189150535,0.6284560257118331,0.5837150331948919,0.6088705277106555,0.3108588893576039,0.41158369514816845,0.8565711770321799,0.41801358787870724,0.2134168657381838,150,,400,150,log2,,gini
1,5,enriched_uf,random_forest,18,45,1202248,300561,3896,975,0,250000,180.51331119999668,0.5911688217711225,0.533772539401983,0.05739628236913952,0.6836226769625118,0.6437318189787322,0.03989085798377956,0.6337082988145502,0.5863113628181666,0.6008030303030303,0.32133971912252124,0.41872449168158227,0.8512830065138122,0.41056224859512713,0.21958936788206054,150,,400,150,log2,,gini
2,1,enriched_uf,random_forest,18,45,1202247,300562,3899,972,0,250000,234.49685650000174,0.5913056434190688,0.5280537792818111,0.0632518641372577,0.6844784746892351,0.6295161413860222,0.054962333303212874,0.5686447388558766,0.5824679496234291,0.4883037697244551,0.6667595275239581,0.5637460588787531,0.49817637172289997,0.4180036065770124,0.5707674290163095,250,16.0,400,50,log2,balanced_subsample,entropy
2,2,enriched_uf,random_forest,18,45,1202247,300562,3897,974,0,250000,400.0092932000043,0.5890381517515365,0.5430709900589642,0.04596716169257231,0.6862176746385327,0.636832765821552,0.049384908816980655,0.5867242033257697,0.5963893804276674,0.5087403880027697,0.6590292148269378,0.5742139162447597,0.533749546028397,0.42285119210013244,0.5477671828108677,250,16.0,400,50,log2,balanced_subsample,entropy
2,3,enriched_uf,random_forest,18,45,1202247,300562,3896,975,0,250000,312.697577299994,0.5860338211740383,0.5509621237137221,0.03507169746031624,0.6829634217350826,0.6519409815455811,0.03102244018950151,0.6131613444147963,0.6034134009444103,0.5286384830102765,0.5484771265623104,0.5383751076948732,0.6583496753265102,0.41127953633526526,0.4267139558560297,250,16.0,400,50,log2,balanced_subsample,entropy
