feature,nulos_alunos,nulos_contextos,pct_nulos_alunos,pct_nulos_contextos
alunos_por_turma_anos_iniciais,86,6,0.005722616779643986,0.10202346539704132
razao_matriculas_docentes_anos_iniciais,86,6,0.005722616779643986,0.10202346539704132
quantidade_escolas_anos_iniciais,75,4,0.004990654168294174,0.06801564359802754
total_matriculas_anos_iniciais,75,4,0.004990654168294174,0.06801564359802754
total_docentes_anos_iniciais,75,4,0.004990654168294174,0.06801564359802754
total_turmas_anos_iniciais,75,4,0.004990654168294174,0.06801564359802754
proporcao_escolas_rurais,75,4,0.004990654168294174,0.06801564359802754
proporcao_internet_aprendizagem,75,4,0.004990654168294174,0.06801564359802754
proporcao_biblioteca_sala_leitura,75,4,0.004990654168294174,0.06801564359802754
proporcao_laboratorio_informatica,75,4,0.004990654168294174,0.06801564359802754
proporcao_matriculas_integral_anos_iniciais,75,4,0.004990654168294174,0.06801564359802754
