rede_nome,contextos,alunos,alfabetizados,mediana__quantidade_escolas_anos_iniciais,mediana__total_matriculas_anos_iniciais,mediana__total_docentes_anos_iniciais,mediana__total_turmas_anos_iniciais,mediana__proporcao_escolas_rurais,mediana__proporcao_internet_aprendizagem,mediana__proporcao_biblioteca_sala_leitura,mediana__proporcao_laboratorio_informatica,mediana__proporcao_matriculas_integral_anos_iniciais,mediana__alunos_por_turma_anos_iniciais,mediana__razao_matriculas_docentes_anos_iniciais,taxa_alfabetizacao
Estadual,1059,131522,80662,2.0,273.0,18.0,13.0,0.0,1.0,1.0,0.8461538461538461,0.006097560975609756,20.703703703703702,15.857142857142858,0.6132966347835344
Municipal,4822,1371287,796765,7.0,666.5,41.0,34.0,0.5333333333333333,0.5909090909090909,0.5,0.16666666666666669,0.019906958712928864,20.0,16.406462585034014,0.5810344588696604
