modelo,accuracy,balanced_accuracy,roc_auc,pr_auc_nao_alfabetizado,precision_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,taxa_predita_nao_alfabetizado,treinamento_segundos
decision_tree,0.5504243160937836,0.5199011505961224,0.5520553197124972,0.4588396464888219,0.4660847532485646,0.2993304421172062,0.3645429463607976,0.2766753169909734,7.392993300003582
random_forest,0.569580443192452,0.5165820888966204,0.5816538834927266,0.49461965924826923,0.5016958654519972,0.1335980711955751,0.2110065784819976,0.11472130841782674,16.73369370000728
logistic_regression,0.5649594335163086,0.5045151854090814,0.5488133573209498,0.45900943693399104,0.4661905251258863,0.0677246228605125,0.11826814659358278,0.06258461399937615,5.294467800005805
