fold,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,raw_features,transformed_features,roc_auc_literate,pr_auc_risk,runtime_seconds
1,1202247,300562,3899,972,0,18,45,0.6306871855486383,0.5300588386781792,17.683435899998585
2,1202247,300562,3897,974,0,18,45,0.637023386224401,0.5449188040332165,15.225186999996367
3,1202247,300562,3896,975,0,18,45,0.6503869243293204,0.5537141890921897,15.314685299999837
4,1202247,300562,3896,975,0,18,45,0.6510103266867984,0.5534068984113216,14.971258899997338
5,1202248,300561,3896,975,0,18,45,0.6510361151365619,0.5410753911444395,15.207519700001285
