feature,n,n_unique,skew_raw,skew_log1p,reducao_abs_skew_log1p,candidata_log1p_distribuicao,nulos_alunos,pct_nulos_alunos,nulos_contextos,pct_nulos_contextos,pearson_aluno_target,spearman_contexto_taxa,gap_extremos_pp,n_grupos_quantile,max_abs_spearman_com_outra_feature,alerta_redundancia_080
total_matriculas_anos_iniciais,5877,2368,26.293743956221174,0.5050159981691384,25.788727958052036,True,75,0.004990654168294174,4,0.06801564359802754,-0.010248445728784639,-0.21702914996590947,-9.42176586217408,4,0.9772091682169104,True
total_turmas_anos_iniciais,5877,431,22.587593991462118,0.6264902495525282,21.96110374190959,True,75,0.004990654168294174,4,0.06801564359802754,-0.01039681122710793,-0.1960277920248568,-8.156217269274624,4,0.9772091682169104,True
total_docentes_anos_iniciais,5877,493,22.588069126884367,0.6301319822864735,21.957937144597892,True,75,0.004990654168294174,4,0.06801564359802754,-0.004463624486845514,-0.16170932132677232,-6.364629808470279,4,0.9741752237967067,True
quantidade_escolas_anos_iniciais,5877,137,11.078196960235603,0.6205827986503754,10.457614161585228,True,75,0.004990654168294174,4,0.06801564359802754,-0.021912997242231964,-0.2615287378785642,-10.39145418394477,4,0.862864832170517,True
alunos_por_turma_anos_iniciais,5875,4013,1.1896937860957848,-0.5477749163907745,0.6419188697050103,True,86,0.005722616779643986,6,0.10202346539704132,-0.048908434132139966,-0.1905736454513815,-7.219873852005576,4,0.7107130072575377,False
razao_matriculas_docentes_anos_iniciais,5875,4461,0.9410290204876504,-0.24564757375434668,0.6953814467333037,False,86,0.005722616779643986,6,0.10202346539704132,-0.08337831741267433,-0.25809279265545126,-11.286368399066104,4,0.7107130072575377,False
proporcao_escolas_rurais,5877,497,-0.08870310059154753,-0.2838609054382974,-0.19515780484674988,False,75,0.004990654168294174,4,0.06801564359802754,-0.048285073849014204,-0.2122518973253645,-7.869128326542896,3,0.5483334997957483,False
proporcao_biblioteca_sala_leitura,5877,784,-0.20674434608719705,-0.41208288930491865,-0.2053385432177216,False,75,0.004990654168294174,4,0.06801564359802754,0.08763669309195332,0.2834417806965757,11.335117900864377,3,0.5483334997957483,False
proporcao_laboratorio_informatica,5877,644,0.5218857988414565,0.3469755078862469,0.17491029095520955,False,75,0.004990654168294174,4,0.06801564359802754,0.05649789249984415,0.20888307008366194,7.469440593458931,3,0.5036768978235412,False
proporcao_internet_aprendizagem,5877,812,-0.36324919785230253,-0.570483879971998,-0.20723468211969548,False,75,0.004990654168294174,4,0.06801564359802754,0.09432162188140067,0.26191871291197205,10.851555543633019,3,0.4176115146609568,False
proporcao_matriculas_integral_anos_iniciais,5877,3512,2.2984691163811193,2.037708888442137,0.26076022793898224,True,75,0.004990654168294174,4,0.06801564359802754,0.05736525973560955,-0.07329803124283263,5.534902494316474,3,0.30038455966479793,False
