feature_set,model,fold,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,accuracy,balanced_accuracy,roc_auc_literate,pr_auc_risk,precision_risk,recall_risk,f1_risk,recall_literate,actual_risk_rate,predicted_risk_rate
enriched_uf,decision_tree,1,18,45,1202247,300562,3899,972,0,5.487536900000123,0.547231519619912,0.5734083713642909,0.6042985848969084,0.499626336015831,0.47315800019523324,0.7330303416218281,0.5750995238466943,0.4137864011067537,0.4180036065770124,0.6475835268596829
enriched_uf,decision_tree,2,18,45,1202247,300562,3897,974,0,5.7764540999996825,0.5541984682028999,0.5597089458605737,0.5784575201902922,0.4922968426535372,0.47820482034301026,0.5954222498485361,0.5304146997080665,0.5239956418726113,0.42285119210013244,0.5265003559997604
enriched_uf,decision_tree,3,18,45,1202247,300562,3896,975,0,10.376586899998074,0.5644193211384008,0.5614755389756365,0.5802652426335692,0.4619804778524036,0.4742845876520955,0.5448853294503094,0.5071396034348401,0.5780657485009636,0.41127953633526526,0.47250151383075706
enriched_uf,decision_tree,4,18,45,1202247,300562,3896,975,0,9.985038099999656,0.5680192439496676,0.5749941594442253,0.6136259172340427,0.5190934526945548,0.4868293907259836,0.6175311806047485,0.5444459648642674,0.532457138283702,0.41801358787870724,0.5302400170347549
enriched_uf,decision_tree,5,18,45,1202248,300561,3896,975,0,5.300909199999296,0.5836984838352282,0.5760603125658441,0.6103977211821585,0.5070484238176216,0.4935323979993551,0.5333592654721675,0.5126735110377167,0.6187613596595206,0.41056224859512713,0.4436936262522416
enriched_uf,random_forest,1,18,45,1202247,300562,3899,972,0,99.81206050000037,0.610556224672447,0.5640553291592826,0.626338748945235,0.5257742659908792,0.5693398817409286,0.28050081186920944,0.37583584843281753,0.8476098464493558,0.4180036065770124,0.20594087076875986
enriched_uf,random_forest,2,18,45,1202247,300562,3897,974,0,112.72923280000396,0.6055489383222097,0.553753558564404,0.6350221916342248,0.5418380603500985,0.5910137757495628,0.218068658384018,0.3185870208693753,0.8894384587447901,0.42285119210013244,0.15602105389237494
enriched_uf,random_forest,3,18,45,1202247,300562,3896,975,0,119.09315310000238,0.6227367398406984,0.5673346939293735,0.6502047776765616,0.5493218674537591,0.5967339060666843,0.2551065809165554,0.3574160862740209,0.8795628069421917,0.41127953633526526,0.1758239564549078
enriched_uf,random_forest,4,18,45,1202247,300562,3896,975,0,115.53134139999747,0.6280667549457349,0.5816572307109514,0.6503318912909765,0.5524273208306343,0.6131757861018501,0.29862542681810583,0.40164430194779127,0.8646890346037971,0.41801358787870724,0.20357862936765125
enriched_uf,random_forest,5,18,45,1202248,300561,3896,975,0,117.24127740000404,0.6292699318940248,0.5782058848358831,0.6440551064138241,0.5347884105346689,0.599313136675847,0.2927333284710573,0.3933403385364207,0.8636784412007089,0.41056224859512713,0.2005383266624745
