candidate_id,fold,feature_set,model,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,train_pr_auc_risk,validation_pr_auc_risk,pr_auc_gap_train_validation,train_roc_auc_literate,validation_roc_auc_literate,roc_auc_gap_train_validation,validation_accuracy,validation_balanced_accuracy,validation_precision_risk,validation_recall_risk,validation_f1_risk,validation_recall_literate,validation_actual_risk_rate,validation_predicted_risk_rate,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,max_bins
0,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,13.904295899999852,0.5871146269436018,0.5305976789534649,0.056516947990136956,0.680180232092137,0.6308668018508017,0.049313430241335277,0.6107026170973043,0.5703117876673155,0.5592680112106391,0.3240154095959757,0.410313268556223,0.8166081657386552,0.4180036065770124,0.24217299592097472,0.08,150,31,,50,1.0,255
0,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,11.880556899996009,0.5849701550506381,0.5398295643783146,0.045140590672323455,0.6799842205342169,0.6328803612746862,0.047103859259530756,0.609930729766238,0.5690591186520485,0.5730252138209092,0.3041709614219509,0.39739715043483625,0.8339472758821461,0.42285119210013244,0.22445618541266027,0.08,150,31,,50,1.0,255
0,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,24.62786159999814,0.5833330239618368,0.551610343933087,0.03172268002874978,0.678642161741964,0.6474589021730803,0.03118325956888368,0.635768992753575,0.5900491539403122,0.6039244506504006,0.33238684625652226,0.4287816331854944,0.8477114616241022,0.41127953633526526,0.22635928693580692,0.08,150,31,,50,1.0,255
0,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,20.356939799996326,0.5832581807831884,0.5522925781978756,0.03096560258531278,0.6776173252537644,0.6490748493179209,0.02854247593584347,0.6262801019423613,0.5878073544348352,0.5882438720453913,0.3531785512460303,0.44136428741943184,0.8224361576236401,0.41801358787870724,0.25097317691524546,0.08,150,31,,50,1.0,255
0,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,12.129801600000064,0.5861782760039309,0.5385610687529561,0.04761720725097485,0.6777765614584347,0.6481251433504087,0.029651418108025962,0.6299220457744019,0.5891296746784085,0.5790684376055936,0.3610807218859148,0.4448027153160798,0.8171786274709023,0.41056224859512713,0.25600793183413684,0.08,150,31,,50,1.0,255
1,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,10.07798680000269,0.5989299959128213,0.5254504048292798,0.0734795910835414,0.6905396681330856,0.6278137339144959,0.06272593421858974,0.6060413492058211,0.5678715894675803,0.5469413736213773,0.3351189149606801,0.41559608123781555,0.8006242639744806,0.4180036065770124,0.2561168743886453,0.18214744423753768,120,63,,141,0.13292918943162169,127
1,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,10.131203600001754,0.596705446346482,0.5378245410372287,0.058880905309253384,0.6905029694638757,0.6258871760065448,0.06461579345733093,0.6132145780238354,0.5728810994587789,0.5793162993531771,0.31148056934685625,0.40513337461046833,0.8342816295707014,0.42285119210013244,0.22735409000472448,0.18214744423753768,120,63,,141,0.13292918943162169,127
1,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,19.596596900002623,0.596105275270218,0.5456315974089934,0.050473677861224586,0.6895413122004338,0.6456345551020807,0.04390675709835312,0.6299665293683167,0.5815540038224053,0.5969621599637086,0.30871657970311045,0.406970172014802,0.8543914279417001,0.41127953633526526,0.21269155781502652,0.18214744423753768,120,63,,141,0.13292918943162169,127
1,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,16.192710800001805,0.5960847179395619,0.5503475565301006,0.04573716140946127,0.688872757396295,0.648624394247951,0.04024836314834401,0.6246032432576307,0.588092332686013,0.5810542302094539,0.36542793240952254,0.4486792342197074,0.8107567329625035,0.41801358787870724,0.2628908511388665,0.18214744423753768,120,63,,141,0.13292918943162169,127
1,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,10.072682799996983,0.5978804943728104,0.531156206377766,0.06672428799504448,0.6887372356869734,0.638231807131894,0.050505428555079446,0.6264851394558841,0.5831537371669655,0.5762660785468692,0.3409103801489477,0.42839103869653766,0.8253970941849832,0.41056224859512713,0.24288247643573185,0.18214744423753768,120,63,,141,0.13292918943162169,127
2,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,20.215912499996193,0.5900537081888004,0.5298977776748879,0.06015593051391255,0.6827753035603243,0.6280490874799963,0.054726216080328016,0.6121166348374046,0.5697502902676956,0.5654165763422213,0.31140755834315004,0.40161986542182715,0.8280930221922413,0.4180036065770124,0.23021872359113926,0.033494758473134406,199,63,,169,0.029375384576328288,255
2,2,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3897,974,0,20.437899099997594,0.5877411249685426,0.5413786092806228,0.046362515687919825,0.6823021537189773,0.6328997992896815,0.04940235442929575,0.6128153259560424,0.5690317784777896,0.5867426204039358,0.2852714154202041,0.3838949625433465,0.8527921415353752,0.42285119210013244,0.20558819810887605,0.033494758473134406,199,63,,169,0.029375384576328288,255
2,3,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,44.01995100000204,0.5867184273238841,0.5517329808059541,0.03498544651793001,0.6814285018107931,0.6474509950912465,0.03397750671954658,0.6324685089931529,0.584061734958593,0.6030437440245756,0.3112567245075436,0.4105902314612257,0.8568667454096425,0.41127953633526526,0.21227899734497374,0.033494758473134406,199,63,,169,0.029375384576328288,255
2,4,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3896,975,0,20.10636460000387,0.5869859898568153,0.553049102256962,0.03393688759985325,0.6809864852486737,0.64917957740671,0.031806907841963716,0.6280667549457349,0.5891427320627671,0.5929031392540918,0.35176179371055166,0.44155480844644046,0.8265236704149826,0.41801358787870724,0.24800207611075253,0.033494758473134406,199,63,,169,0.029375384576328288,255
2,5,enriched_uf,hist_gradient_boosting,18,45,1202248,300561,3896,975,0,20.324961400001484,0.5887445524473959,0.5361234741733182,0.05262107827407769,0.6806570562183845,0.6463198439267925,0.03433721229159192,0.6285546028925909,0.5819519540353519,0.5869999556009413,0.32142075705637807,0.4153889656905869,0.8424831510143259,0.41056224859512713,0.22480960603671135,0.033494758473134406,199,63,,169,0.029375384576328288,255
3,1,enriched_uf,hist_gradient_boosting,18,45,1202247,300562,3899,972,0,14.408901099996001,0.5862623062821705,0.5267591083504037,0.05950319793176673,0.6795275860544473,0.6276840261919142,0.051843559862533084,0.6089858332057945,0.5701556440834976,0.5536110817383948,0.33337578401095225,0.4161516602746259,0.8069355041560431,0.4180036065770124,0.25171512034122745,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
