model,enriched_raw_features,enriched_uf_raw_features,enriched_transformed_features,enriched_uf_transformed_features,enriched_oof_accuracy,enriched_uf_oof_accuracy,delta_oof_accuracy,enriched_oof_balanced_accuracy,enriched_uf_oof_balanced_accuracy,delta_oof_balanced_accuracy,enriched_oof_roc_auc_literate,enriched_uf_oof_roc_auc_literate,delta_oof_roc_auc_literate,enriched_oof_pr_auc_risk,enriched_uf_oof_pr_auc_risk,delta_oof_pr_auc_risk,enriched_oof_precision_risk,enriched_uf_oof_precision_risk,delta_oof_precision_risk,enriched_oof_recall_risk,enriched_uf_oof_recall_risk,delta_oof_recall_risk,enriched_oof_f1_risk,enriched_uf_oof_f1_risk,delta_oof_f1_risk,enriched_oof_recall_literate,enriched_uf_oof_recall_literate,delta_oof_recall_literate,enriched_oof_actual_risk_rate,enriched_uf_oof_actual_risk_rate,delta_oof_actual_risk_rate,enriched_oof_predicted_risk_rate,enriched_uf_oof_predicted_risk_rate,delta_oof_predicted_risk_rate
decision_tree,17,18,22,45,0.5452649005961503,0.5635133939176569,0.018248493321506576,0.5445307003415671,0.5695112516806912,0.024980551339124024,0.559824129428341,0.597792578190316,0.037968448761974916,0.4630528558572039,0.49515696135662224,0.032104105499418334,0.4604703913020956,0.4805910912258071,0.020120699923711516,0.540153058450675,0.6052732569853305,0.06512019853465556,0.4971390391645523,0.5357739860298228,0.038634946865270525,0.5489083422324592,0.5337492463760518,-0.0151590958564074,0.416142038010153,0.416142038010153,0.0,0.4881538505558591,0.5241038615020273,0.035950010946168176
random_forest,17,18,22,45,0.5968616104907544,0.6192357112580508,0.0223741007672964,0.5424682527309745,0.5689105276527249,0.02644227492175033,0.6014679124684975,0.6416946884675312,0.04022677599903368,0.4993874613374776,0.5404332337941484,0.04104577245667085,0.5385729850934815,0.5938996820911339,0.05532669699765236,0.218149866801411,0.2688484798091407,0.05069861300772968,0.3105222068205769,0.3701405201203766,0.05961831329979972,0.8667866386605382,0.8689725754963091,0.002185936835770952,0.416142038010153,0.416142038010153,0.0,0.1685590118238578,0.18838055933921077,0.019821547515352977
