feature,repeat,seed,baseline_pr_auc_risk,permuted_pr_auc_risk,importance_pr_auc_drop,baseline_roc_auc_literate,permuted_roc_auc_literate,importance_roc_auc_drop,baseline_balanced_accuracy,permuted_balanced_accuracy,importance_balanced_accuracy_drop,runtime_seconds
rede_nome,1,143,0.5253040532680108,0.5222199277495615,0.0030841255184492766,0.6314559327027521,0.6274025554775282,0.00405337722522392,0.5902724135256414,0.5852315179944961,0.005040895531145284,1.3320497999957297
rede_nome,2,144,0.5253040532680108,0.5225175668959852,0.0027864863720256094,0.6314559327027521,0.6277072092770619,0.0037487234256902147,0.5902724135256414,0.5858235690073872,0.004448844518254225,1.3488290999957826
rede_nome,3,145,0.5253040532680108,0.5225447154682825,0.0027593377997282564,0.6314559327027521,0.6273893933609441,0.0040665393418080065,0.5902724135256414,0.5848992224990222,0.005373191026619262,1.3656778000004124
rede_nome,4,146,0.5253040532680108,0.5223846349097032,0.0029194183583075572,0.6314559327027521,0.6273996446414593,0.004056288061292879,0.5902724135256414,0.5850367223691559,0.005235691156485478,1.3498701000062283
rede_nome,5,147,0.5253040532680108,0.5224066023815177,0.0028974508864930693,0.6314559327027521,0.6273789543468088,0.004076978355943339,0.5902724135256414,0.5849924610237567,0.005279952501884733,1.3402898000058485
regiao,1,243,0.5253040532680108,0.5218123526086281,0.003491700659382646,0.6314559327027521,0.6290870510199972,0.002368881682754953,0.5902724135256414,0.5858843765991322,0.004388036926509242,1.3535945999901742
regiao,2,244,0.5253040532680108,0.5221407734204229,0.0031632798475879076,0.6314559327027521,0.6289139810192602,0.0025419516834919165,0.5902724135256414,0.585956329219184,0.004316084306457468,1.341849500007811
regiao,3,245,0.5253040532680108,0.5217269553012762,0.003577097966734555,0.6314559327027521,0.6286484389008211,0.002807493801931016,0.5902724135256414,0.5856040512400433,0.004668362285598082,1.3533789000066463
regiao,4,246,0.5253040532680108,0.5215064679517052,0.003797585316305585,0.6314559327027521,0.6281600761078512,0.0032958565949009477,0.5902724135256414,0.5849023035664278,0.005370109959213609,1.3793750000040745
regiao,5,247,0.5253040532680108,0.5220609355084411,0.003243117759569647,0.6314559327027521,0.6286152438900008,0.0028406888127513463,0.5902724135256414,0.5857129255596314,0.004559487966010023,1.3068340999889188
capital_uf,1,343,0.5253040532680108,0.5253345178803099,-3.046461229916364e-05,0.6314559327027521,0.6316299643974084,-0.00017403169465624035,0.5902724135256414,0.5903230578141296,-5.064428848822189e-05,1.3264726000052178
capital_uf,2,344,0.5253040532680108,0.5253301418876034,-2.6088619592634643e-05,0.6314559327027521,0.6316118785490403,-0.00015594584628819685,0.5902724135256414,0.590329658970101,-5.724544445961932e-05,1.3077101999951992
capital_uf,3,345,0.5253040532680108,0.5253305241726778,-2.6470904667008632e-05,0.6314559327027521,0.6316151637210234,-0.0001592310182713108,0.5902724135256414,0.5903695344295579,-9.712090391644779e-05,1.2946366999967722
capital_uf,4,346,0.5253040532680108,0.5253308231265522,-2.6769858541442204e-05,0.6314559327027521,0.6316225215679304,-0.00016658886517828542,0.5902724135256414,0.590329658970101,-5.724544445961932e-05,1.289203099993756
capital_uf,5,347,0.5253040532680108,0.5253500177370951,-4.596446908433638e-05,0.6314559327027521,0.6316602105729051,-0.00020427787015298016,0.5902724135256414,0.5903879785090771,-0.00011556498343567867,1.3409510999917984
amazonia_legal,1,443,0.5253040532680108,0.5252754606978167,2.859257019405259e-05,0.6314559327027521,0.6314612644440454,-5.331741293246317e-06,0.5902724135256414,0.5901244860877327,0.00014792743790870144,1.3021475999994436
amazonia_legal,2,444,0.5253040532680108,0.5252609572466748,4.309602133600876e-05,0.6314559327027521,0.6314574509426716,-1.5182399194513252e-06,0.5902724135256414,0.5901811777146851,9.123581095626943e-05,1.3029243999917526
amazonia_legal,3,445,0.5253040532680108,0.5253085024001554,-4.4491321445905285e-06,0.6314559327027521,0.6314770888043769,-2.1156101624786317e-05,0.5902724135256414,0.5902357043823556,3.6709143285795776e-05,1.3083155000058468
amazonia_legal,4,446,0.5253040532680108,0.5252865902764364,1.7462991574346276e-05,0.6314559327027521,0.6314725756442237,-1.664294147152301e-05,0.5902724135256414,0.5900891363328415,0.00018327719279986887,1.2519506999960868
amazonia_legal,5,447,0.5253040532680108,0.5252658267167686,3.8226551242193096e-05,0.6314559327027521,0.6314546669149732,1.26578777892572e-06,0.5902724135256414,0.5901925730988513,7.984042679010095e-05,1.3239796999987448
populacao_2020,1,543,0.5253040532680108,0.5211605570416027,0.004143496226408083,0.6314559327027521,0.6264390789206529,0.005016853782099262,0.5902724135256414,0.5871690648478931,0.0031033486777483077,1.3479821999935666
populacao_2020,2,544,0.5253040532680108,0.5210285568708845,0.004275496397126322,0.6314559327027521,0.6266585029875582,0.004797429715193924,0.5902724135256414,0.5874180291093982,0.002854384416243194,1.3252686000050744
populacao_2020,3,545,0.5253040532680108,0.521389163355446,0.003914889912564723,0.6314559327027521,0.6267208534422072,0.00473507926054495,0.5902724135256414,0.5873321245738952,0.0029402889517462505,1.2919915999955265
populacao_2020,4,546,0.5253040532680108,0.5207109691778147,0.004593084090196098,0.6314559327027521,0.6261966256750309,0.005259307027721261,0.5902724135256414,0.5870851797964172,0.003187233729224248,1.4450309999956517
populacao_2020,5,547,0.5253040532680108,0.5210094859910009,0.004294567277009831,0.6314559327027521,0.6264750424200719,0.004980890282680228,0.5902724135256414,0.5868866080700201,0.0033858054556212824,1.2834516000002623
pib_por_habitante_2020,1,643,0.5253040532680108,0.5217267101698626,0.003577343098148167,0.6314559327027521,0.627434334533638,0.004021598169114182,0.5902724135256414,0.5871427273050038,0.003129686220637584,1.296243599994341
pib_por_habitante_2020,2,644,0.5253040532680108,0.5220168414951758,0.003287211772834975,0.6314559327027521,0.6275475369417034,0.003908395761048733,0.5902724135256414,0.5873717090828423,0.002900704442799107,1.3262389000010444
pib_por_habitante_2020,3,645,0.5253040532680108,0.5215129619953702,0.0037910912726405455,0.6314559327027521,0.6273130127962305,0.004142919906521603,0.5902724135256414,0.5871113494371711,0.003161064088470278,1.3191977999958908
pib_por_habitante_2020,4,646,0.5253040532680108,0.521705035396698,0.003599017871312782,0.6314559327027521,0.6273305007053648,0.004125431997387352,0.5902724135256414,0.5870685034475449,0.0032039100780965057,1.2904993999982253
pib_por_habitante_2020,5,647,0.5253040532680108,0.5217825525043115,0.0035215007636992812,0.6314559327027521,0.6273263183250625,0.004129614377689661,0.5902724135256414,0.5868953685286418,0.0033770449969996452,1.3031451999995625
participacao_agropecuaria_2020,1,743,0.5253040532680108,0.519957308816209,0.0053467444518017215,0.6314559327027521,0.6223536072654706,0.009102325437281511,0.5902724135256414,0.5841525723507278,0.006119841174913598,1.3683090999984415
participacao_agropecuaria_2020,2,744,0.5253040532680108,0.5200126827965814,0.0052913704714293575,0.6314559327027521,0.6221508976797895,0.009305035022962649,0.5902724135256414,0.584259231400287,0.006013182125354399,1.2810141000081785
participacao_agropecuaria_2020,3,745,0.5253040532680108,0.519784914629645,0.005519138638365728,0.6314559327027521,0.622403574188963,0.00905235851378916,0.5902724135256414,0.5846107933164166,0.0056616202092247825,1.2938223999954062
participacao_agropecuaria_2020,4,746,0.5253040532680108,0.5202845021227338,0.005019551145276968,0.6314559327027521,0.6233259643679289,0.008129968334823268,0.5902724135256414,0.5855484819553475,0.004723931570293938,1.2870953000092413
participacao_agropecuaria_2020,5,747,0.5253040532680108,0.519851530052651,0.005452523215359828,0.6314559327027521,0.6228384325341398,0.008617500168612291,0.5902724135256414,0.5849612643677806,0.005311149157860795,1.3049765000032494
participacao_industria_2020,1,843,0.5253040532680108,0.522219553107134,0.003084500160876802,0.6314559327027521,0.6283299181018585,0.0031260146008936784,0.5902724135256414,0.5871268718997471,0.0031455416258943103,1.2779222999961348
participacao_industria_2020,2,844,0.5253040532680108,0.5220246697128145,0.0032793835551963024,0.6314559327027521,0.6282995775604366,0.0031563551423154923,0.5902724135256414,0.5870352612870364,0.00323715223860499,1.3032540999993216
participacao_industria_2020,3,845,0.5253040532680108,0.5223431241201333,0.002960929147877489,0.6314559327027521,0.6283735599462754,0.0030823727564767145,0.5902724135256414,0.5877099945518811,0.0025624189737603054,1.3183802999992622
participacao_industria_2020,4,846,0.5253040532680108,0.5220725062572366,0.003231547010774216,0.6314559327027521,0.6286855803438578,0.0027703523588943346,0.5902724135256414,0.5871311458509327,0.003141267674708681,1.3202468999952544
participacao_industria_2020,5,847,0.5253040532680108,0.5220120705106497,0.0032919827573610894,0.6314559327027521,0.6284667913835831,0.002989141319169053,0.5902724135256414,0.5873402570798615,0.002932156445779932,1.2798540000076173
participacao_administracao_publica_2020,1,943,0.5253040532680108,0.5176018822367442,0.00770217103126658,0.6314559327027521,0.6258838737751606,0.0055720589275914945,0.5902724135256414,0.5857393932050474,0.0045330203205939945,1.4277053999976488
participacao_administracao_publica_2020,2,944,0.5253040532680108,0.5186847162835602,0.006619336984450608,0.6314559327027521,0.6268727406553278,0.0045831920474243,0.5902724135256414,0.5868528852289236,0.0034195282967177665,1.2947948000073666
participacao_administracao_publica_2020,3,945,0.5253040532680108,0.5182022708779606,0.007101782390050215,0.6314559327027521,0.6263400613148891,0.005115871387863069,0.5902724135256414,0.5863809976416614,0.0038914158839800095,1.3532374999922467
participacao_administracao_publica_2020,4,946,0.5253040532680108,0.5181007645822185,0.007203288685792231,0.6314559327027521,0.626079873497721,0.005376059205031147,0.5902724135256414,0.5866044188175472,0.003667994708094202,1.2869247999915387
participacao_administracao_publica_2020,5,947,0.5253040532680108,0.518229995615097,0.007074057652913801,0.6314559327027521,0.6260690675345669,0.0053868651681852064,0.5902724135256414,0.5859158734558743,0.004356540069767156,1.2817056000058074
quantidade_escolas_anos_iniciais,1,1043,0.5253040532680108,0.5200838651828483,0.005220188085162447,0.6314559327027521,0.6255759979915461,0.00587993471120607,0.5902724135256414,0.5865437169049901,0.0037286966206513394,1.2979672999936156
quantidade_escolas_anos_iniciais,2,1044,0.5253040532680108,0.5203596333542777,0.004944419913733067,0.6314559327027521,0.6257878503908704,0.005668082311881761,0.5902724135256414,0.5867027152360573,0.003569698289584089,1.3734101000009105
quantidade_escolas_anos_iniciais,3,1045,0.5253040532680108,0.5199019626594967,0.005402090608514043,0.6314559327027521,0.625574265564935,0.005881667137817126,0.5902724135256414,0.5860315790565165,0.004240834469124932,1.2796476000075927
quantidade_escolas_anos_iniciais,4,1046,0.5253040532680108,0.5202552747302442,0.0050487785377665295,0.6314559327027521,0.6258930547544297,0.005562877948322442,0.5902724135256414,0.5871114555156507,0.003160958009990722,1.332513100001961
quantidade_escolas_anos_iniciais,5,1047,0.5253040532680108,0.520284384401081,0.005019668866929727,0.6314559327027521,0.625793436547488,0.005662496155264152,0.5902724135256414,0.5864107427394221,0.003861670786219351,1.3642609000089578
alunos_por_turma_anos_iniciais,1,1143,0.5253040532680108,0.5234643740717632,0.0018396791962476122,0.6314559327027521,0.6296130866133562,0.0018428460893958887,0.5902724135256414,0.5895730661937306,0.0006993473319107935,1.2948174000048311
alunos_por_turma_anos_iniciais,2,1144,0.5253040532680108,0.5234265187372577,0.0018775345307531222,0.6314559327027521,0.6298546985847632,0.0016012341179889589,0.5902724135256414,0.5892135605034842,0.0010588530221572467,1.2905623999977252
alunos_por_turma_anos_iniciais,3,1145,0.5253040532680108,0.5235087364869588,0.0017953167810519366,0.6314559327027521,0.6297156398135111,0.0017402928892410463,0.5902724135256414,0.5890302833106844,0.0012421302149570046,1.2811962999985553
alunos_por_turma_anos_iniciais,4,1146,0.5253040532680108,0.5235191642898753,0.001784888978135446,0.6314559327027521,0.6298742938553601,0.0015816388473920417,0.5902724135256414,0.5896730681199401,0.0005993454057012793,1.3304295999987517
alunos_por_turma_anos_iniciais,5,1147,0.5253040532680108,0.5235531110757806,0.0017509421922301538,0.6314559327027521,0.6298082900152856,0.0016476426874665329,0.5902724135256414,0.5895880586632007,0.0006843548624406726,1.3205447000073036
proporcao_escolas_rurais,1,1243,0.5253040532680108,0.5252001881461795,0.00010386512183124808,0.6314559327027521,0.6311946622395715,0.0002612704631805851,0.5902724135256414,0.5900854608532785,0.00018695267236290558,1.367529499999364
proporcao_escolas_rurais,2,1244,0.5253040532680108,0.5250694838826974,0.0002345693853134101,0.6314559327027521,0.6312118502141342,0.00024408248861795823,0.5902724135256414,0.5902127624821369,5.96510435044717e-05,1.3038585999893257
proporcao_escolas_rurais,3,1245,0.5253040532680108,0.5253090352819839,-4.982013973142685e-06,0.6314559327027521,0.6312695154804808,0.00018641722227130675,0.5902724135256414,0.5903110469884464,-3.863346280497115e-05,1.3092392999969888
proporcao_escolas_rurais,4,1246,0.5253040532680108,0.5253462601436274,-4.220687561662384e-05,0.6314559327027521,0.6312669984125194,0.0001889342902327007,0.5902724135256414,0.5901933338159775,7.907970966392064e-05,1.3551204999967013
proporcao_escolas_rurais,5,1247,0.5253040532680108,0.5250091822747924,0.00029487099321834354,0.6314559327027521,0.6312232186793888,0.00023271402336333402,0.5902724135256414,0.5900473923215981,0.0002250212040433297,1.3090064999996684
proporcao_internet_aprendizagem,1,1343,0.5253040532680108,0.5244158703483678,0.000888182919642988,0.6314559327027521,0.6316780096300513,-0.00022207692729914186,0.5902724135256414,0.5913063221334476,-0.0010339086078061666,1.2911119999916991
proporcao_internet_aprendizagem,2,1344,0.5253040532680108,0.5251895680098014,0.0001144852582093403,0.6314559327027521,0.631763564020059,-0.00030763131730682236,0.5902724135256414,0.5915440029455435,-0.0012715894199021305,1.3004503999982262
proporcao_internet_aprendizagem,3,1345,0.5253040532680108,0.5241015668284063,0.001202486439604522,0.6314559327027521,0.631359689841156,9.624286159615192e-05,0.5902724135256414,0.5903818358064593,-0.00010942228081789462,1.3108127000014065
proporcao_internet_aprendizagem,4,1346,0.5253040532680108,0.5239281424320628,0.0013759108359480132,0.6314559327027521,0.6312953621608451,0.00016057054190699027,0.5902724135256414,0.5913308862890583,-0.0010584727634168623,1.3536106000101427
proporcao_internet_aprendizagem,5,1347,0.5253040532680108,0.524524752472281,0.0007793007957297426,0.6314559327027521,0.6313687982491691,8.713445358299321e-05,0.5902724135256414,0.5912619937070525,-0.0009895801814110428,1.3623341000056826
proporcao_biblioteca_sala_leitura,1,1443,0.5253040532680108,0.5239264057686422,0.0013776474993685284,0.6314559327027521,0.6300028905866588,0.0014530421160933171,0.5902724135256414,0.5883085527541105,0.0019638607715308787,1.294115900003817
proporcao_biblioteca_sala_leitura,2,1444,0.5253040532680108,0.5241160871480159,0.0011879661199948321,0.6314559327027521,0.6301268740021507,0.0013290587006014043,0.5902724135256414,0.588751977036331,0.0015204364893104394,1.2837146999954712
proporcao_biblioteca_sala_leitura,3,1445,0.5253040532680108,0.5242217992335931,0.0010822540344176401,0.6314559327027521,0.6304239786940812,0.0010319540086709544,0.5902724135256414,0.5898068977678508,0.0004655157577906355,1.3108477000059793
proporcao_biblioteca_sala_leitura,4,1446,0.5253040532680108,0.5241394031250024,0.0011646501430083722,0.6314559327027521,0.6302718880418691,0.0011840446608830657,0.5902724135256414,0.5894537414801955,0.0008186720454459451,1.2878569000022253
proporcao_biblioteca_sala_leitura,5,1447,0.5253040532680108,0.5238116941317237,0.0014923591362870914,0.6314559327027521,0.6301454407973013,0.0013104919054508501,0.5902724135256414,0.588669524110877,0.0016028894147643857,1.3529736000054982
proporcao_laboratorio_informatica,1,1543,0.5253040532680108,0.5248055751432941,0.0004984781247167058,0.6314559327027521,0.6305910034526352,0.0008649292501169414,0.5902724135256414,0.589566442411233,0.0007059711144083991,1.3302361000096425
proporcao_laboratorio_informatica,2,1544,0.5253040532680108,0.5249412494033465,0.00036280386466425174,0.6314559327027521,0.6307738903045809,0.0006820423981712675,0.5902724135256414,0.5893989072914122,0.0008735062342292155,1.3599438999954145
proporcao_laboratorio_informatica,3,1545,0.5253040532680108,0.5245630054047041,0.0007410478633066431,0.6314559327027521,0.6304259538234619,0.0010299788792902387,0.5902724135256414,0.5895554945664487,0.0007169189591926806,1.3875619000027655
proporcao_laboratorio_informatica,4,1546,0.5253040532680108,0.5245749255109393,0.0007291277570714572,0.6314559327027521,0.6305095618996356,0.0009463708031165474,0.5902724135256414,0.589515887630621,0.000756525895020399,1.281019499991089
proporcao_laboratorio_informatica,5,1547,0.5253040532680108,0.5247723767798845,0.0005316764881262426,0.6314559327027521,0.6305498743837944,0.0009060583189577365,0.5902724135256414,0.5895891269014399,0.0006832866242014735,1.2786400000040885
razao_matriculas_docentes_anos_iniciais,1,1643,0.5253040532680108,0.5239011750047458,0.0014028782632650172,0.6314559327027521,0.6296254991264313,0.0018304335763208446,0.5902724135256414,0.587713429790973,0.002558983734668452,1.2948196999932406
razao_matriculas_docentes_anos_iniciais,2,1644,0.5253040532680108,0.5238856646348456,0.001418388633165124,0.6314559327027521,0.6294375844606803,0.00201834824207181,0.5902724135256414,0.587883700457832,0.0023887130678094115,1.314554800002952
razao_matriculas_docentes_anos_iniciais,3,1645,0.5253040532680108,0.5236979852999598,0.0016060679680509615,0.6314559327027521,0.6295497254184645,0.0019062072842875866,0.5902724135256414,0.5880986408123426,0.0021737727132987716,1.3048612999991747
razao_matriculas_docentes_anos_iniciais,4,1646,0.5253040532680108,0.5237282991302863,0.0015757541377244833,0.6314559327027521,0.6295643117750606,0.001891620927691573,0.5902724135256414,0.5878491395035792,0.002423274022062216,1.3243965999863576
razao_matriculas_docentes_anos_iniciais,5,1647,0.5253040532680108,0.5238287624400649,0.001475290827945841,0.6314559327027521,0.6297474387011058,0.001708494001646299,0.5902724135256414,0.588203705490376,0.0020687080352653764,1.314947899998515
proporcao_matriculas_integral_anos_iniciais,1,1743,0.5253040532680108,0.5235157245995514,0.0017883286684593491,0.6314559327027521,0.6290754261762341,0.0023805065265180003,0.5902724135256414,0.5872686020651803,0.0030038114604611366,1.3544856999942567
proporcao_matriculas_integral_anos_iniciais,2,1744,0.5253040532680108,0.5235206809106528,0.0017833723573579263,0.6314559327027521,0.6287875526412225,0.002668380061529585,0.5902724135256414,0.5874386769460375,0.0028337365796039515,1.4258786999998847
proporcao_matriculas_integral_anos_iniciais,3,1745,0.5253040532680108,0.5232859127951293,0.0020181404728815133,0.6314559327027521,0.6290259102859257,0.0024300224168264384,0.5902724135256414,0.58716985324924,0.0031025602764014337,1.3226215000031516
proporcao_matriculas_integral_anos_iniciais,4,1746,0.5253040532680108,0.5233994313446937,0.0019046219233170847,0.6314559327027521,0.629072023346314,0.002383909356438174,0.5902724135256414,0.5875840813931585,0.0026883321324828735,1.2885878999950364
proporcao_matriculas_integral_anos_iniciais,5,1747,0.5253040532680108,0.5231260918862469,0.002177961381763849,0.6314559327027521,0.6288754657800555,0.002580466922696645,0.5902724135256414,0.5876546913950647,0.0026177221305767606,1.318296500001452
