,quantidade_escolas_anos_iniciais,total_matriculas_anos_iniciais,total_docentes_anos_iniciais,total_turmas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,proporcao_matriculas_integral_anos_iniciais,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais
quantidade_escolas_anos_iniciais,1.0,0.8601530927382565,0.8409713357655771,0.862864832170517,0.518469340930517,-0.3732184650552803,-0.4861246120739481,-0.2632754591530318,0.29328854215869354,0.3525175925329488,0.33032916359447223
total_matriculas_anos_iniciais,0.8601530927382565,1.0,0.954479841934221,0.9772091682169104,0.2128767235750432,-0.2355816128799046,-0.2850235419487667,-0.12264194382637383,0.29820827948593454,0.49682610384173886,0.43506647087133166
total_docentes_anos_iniciais,0.8409713357655771,0.954479841934221,1.0,0.9741752237967067,0.2033943611347515,-0.21171233561096306,-0.24761533067422237,-0.09806022876366353,0.30038455966479793,0.31955868619804834,0.17183773523170284
total_turmas_anos_iniciais,0.862864832170517,0.9772091682169104,0.9741752237967067,1.0,0.23028358565446086,-0.23961357592682941,-0.27991134753737207,-0.12826327375465324,0.27550527241648204,0.3255835900524281,0.31408752488451186
proporcao_escolas_rurais,0.518469340930517,0.2128767235750432,0.2033943611347515,0.23028358565446086,1.0,-0.3820918395625236,-0.5483334997957483,-0.4023464861741662,0.10095953294341986,0.024690513321464578,0.10661818478258535
proporcao_internet_aprendizagem,-0.3732184650552803,-0.2355816128799046,-0.21171233561096306,-0.23961357592682941,-0.3820918395625236,1.0,0.4176115146609568,0.36660990945962874,-0.07938090436235877,-0.09038983034030158,-0.15740093277927558
proporcao_biblioteca_sala_leitura,-0.4861246120739481,-0.2850235419487667,-0.24761533067422237,-0.27991134753737207,-0.5483334997957483,0.4176115146609568,1.0,0.5036768978235412,-0.1460236348458382,-0.13354814768775772,-0.2104186740873392
proporcao_laboratorio_informatica,-0.2632754591530318,-0.12264194382637383,-0.09806022876366353,-0.12826327375465324,-0.4023464861741662,0.36660990945962874,0.5036768978235412,1.0,-0.05693495583976583,-0.03231938847071091,-0.1321043302666471
proporcao_matriculas_integral_anos_iniciais,0.29328854215869354,0.29820827948593454,0.30038455966479793,0.27550527241648204,0.10095953294341986,-0.07938090436235877,-0.1460236348458382,-0.05693495583976583,1.0,0.20161650802963166,0.07351126248977252
alunos_por_turma_anos_iniciais,0.3525175925329488,0.49682610384173886,0.31955868619804834,0.3255835900524281,0.024690513321464578,-0.09038983034030158,-0.13354814768775772,-0.03231938847071091,0.20161650802963166,1.0,0.7107130072575377
razao_matriculas_docentes_anos_iniciais,0.33032916359447223,0.43506647087133166,0.17183773523170284,0.31408752488451186,0.10661818478258535,-0.15740093277927558,-0.2104186740873392,-0.1321043302666471,0.07351126248977252,0.7107130072575377,1.0
