feature_set,model,raw_features,transformed_features,oof_accuracy,oof_balanced_accuracy,oof_roc_auc_literate,oof_pr_auc_risk,oof_precision_risk,oof_recall_risk,oof_f1_risk,oof_recall_literate,oof_actual_risk_rate,oof_predicted_risk_rate,fold_mean_accuracy,fold_std_accuracy,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,fold_mean_roc_auc_literate,fold_std_roc_auc_literate,fold_mean_pr_auc_risk,fold_std_pr_auc_risk,fold_mean_precision_risk,fold_std_precision_risk,fold_mean_recall_risk,fold_std_recall_risk,fold_mean_f1_risk,fold_std_f1_risk,fold_mean_recall_literate,fold_std_recall_literate,fold_mean_actual_risk_rate,fold_std_actual_risk_rate,fold_mean_predicted_risk_rate,fold_std_predicted_risk_rate,total_runtime_seconds
baseline,decision_tree,9,14,0.5273877119447647,0.5382338439624467,0.5561442875612036,0.45941342157517845,0.4494227335467737,0.6029035053775132,0.5149706078386381,0.47356418254738003,0.416142038010153,0.5582572369476094,0.5273877017492367,0.012057035189825165,0.5384337287933363,0.005568401545070399,0.5567006437183328,0.009973314470749615,0.46177740515905086,0.013379115724790116,0.44997136034045243,0.009503104895072848,0.6031394303025653,0.03959934338102356,0.5146913180085788,0.008782673528750725,0.4737280272841072,0.04692933597253822,0.41614203429724894,0.00516620889765755,0.5582572804128558,0.04347637507245419,20.445689400003175
enriched,decision_tree,17,22,0.5452649005961503,0.5445307003415671,0.559824129428341,0.4630528558572039,0.46047039130209566,0.540153058450675,0.4971390391645523,0.5489083422324592,0.416142038010153,0.4881538505558591,0.545264884579797,0.018015060728845036,0.5444538302641319,0.013047589845720825,0.5595062354739097,0.00990089078325973,0.4616792552247788,0.006824084613520717,0.46136455148437144,0.019037505395999993,0.5399832470860252,0.06809556074005939,0.49561891972990546,0.028695256013506424,0.5489244134422384,0.07057087148444673,0.41614203429724894,0.00516620889765755,0.4881538696421027,0.06844407734671047,33.37886360000266
baseline,random_forest,9,14,0.5808755470588745,0.5225350561045986,0.5751426909046098,0.47321173213277906,0.4899492303828352,0.17468203434061103,0.2575422879707668,0.8703880778685862,0.416142038010153,0.1483674904794954,0.580875550283381,0.012456461001282284,0.5225485890832016,0.009549377913090198,0.5742246422704846,0.01781956583612128,0.47304353979231734,0.02650964976067199,0.4956446052360247,0.040203693220612235,0.1746476158358108,0.041440210785051244,0.2551175762833469,0.04222526946727025,0.8704495623305922,0.04675361033080766,0.41614203429724894,0.00516620889765755,0.14836746051514182,0.04360957819637929,2656.1943046999986
enriched,random_forest,17,22,0.5968616104907544,0.5424682527309745,0.6014679124684975,0.4993874613374776,0.5385729850934815,0.218149866801411,0.3105222068205769,0.8667866386605382,0.416142038010153,0.16855901182385785,0.5968616102132994,0.005712023433934234,0.5425340271542148,0.004602178166473257,0.6019701898770184,0.004214656736417005,0.49953752341393026,0.009500248020415237,0.5393334957121322,0.02017773913422748,0.21822810867748052,0.00911013115086688,0.3105024740289484,0.00850545164553542,0.866839945630949,0.01188812576878447,0.41614203429724894,0.00516620889765755,0.16855901831893266,0.00949393633017634,2417.3893746999966
