model,baseline_oof_pr_auc_risk,enriched_oof_pr_auc_risk,delta_oof_pr_auc_risk,baseline_oof_roc_auc_literate,enriched_oof_roc_auc_literate,delta_oof_roc_auc_literate,baseline_oof_balanced_accuracy,enriched_oof_balanced_accuracy,delta_oof_balanced_accuracy,baseline_oof_precision_risk,enriched_oof_precision_risk,delta_oof_precision_risk,baseline_oof_recall_risk,enriched_oof_recall_risk,delta_oof_recall_risk,baseline_oof_f1_risk,enriched_oof_f1_risk,delta_oof_f1_risk
decision_tree,0.45941342157517845,0.4630528558572039,0.0036394342820254555,0.5561442875612036,0.559824129428341,0.0036798418671374344,0.5382338439624467,0.5445307003415671,0.006296856379120475,0.4494227335467737,0.46047039130209566,0.01104765775532196,0.6029035053775132,0.540153058450675,-0.06275044692683829,0.5149706078386381,0.4971390391645523,-0.017831568674085807
random_forest,0.47321173213277906,0.4993874613374776,0.026175729204698517,0.5751426909046098,0.6014679124684975,0.026325221563887724,0.5225350561045986,0.5424682527309745,0.019933196626375937,0.4899492303828352,0.5385729850934815,0.04862375471064628,0.17468203434061103,0.218149866801411,0.043467832460799966,0.2575422879707668,0.3105222068205769,0.052979918849810126
