rank_pr_auc,feature,importance_pr_auc_mean,importance_pr_auc_std,importance_pr_auc_min,importance_pr_auc_max,importance_roc_auc_mean,importance_roc_auc_std,importance_balanced_accuracy_mean,importance_balanced_accuracy_std,mean_runtime_seconds
1,sigla_uf,0.07345938772234942,0.0010831948839376024,0.07256521526555954,0.07529242414848702,0.07042528366301803,0.0007250958035187004,0.04515705706694169,0.0005869953683788442,1.3472903000016232
2,participacao_administracao_publica_2020,0.007140127348894687,0.00038630965547939336,0.006619336984450608,0.00770217103126658,0.005206809347219043,0.00038459105490461654,0.003973699855830626,0.0004654939360549496,1.3288736199989217
3,participacao_agropecuaria_2020,0.005325865584446721,0.00019290606807957652,0.005019551145276968,0.005519138638365728,0.008841437495493775,0.0004700556229214466,0.005565944847529503,0.0005678651471775813,1.3070434800029034
4,quantidade_escolas_anos_iniciais,0.005127029202421163,0.00018393811121291212,0.004944419913733067,0.005402090608514043,0.00573101165289831,0.00014300224685568627,0.0037123716351140867,0.0003956773869267523,1.3295598000026074
5,populacao_2020,0.004244306780661011,0.0002468920625243785,0.003914889912564723,0.004593084090196098,0.004957912013647925,0.00020630686573444947,0.0030942122461166564,0.00020914877423939017,1.3387449999980163
6,pib_por_habitante_2020,0.00355523295572715,0.0001809753699718998,0.003287211772834975,0.0037910912726405455,0.004065592042352306,0.00010038103650066873,0.003154481965400624,0.00017105454220762832,1.3070649799978127
7,regiao,0.003454556309916068,0.000256716428017715,0.0031632798475879076,0.003797585316305585,0.002770974515166036,0.000352074226025167,0.004660416288757685,0.0004203182728889237,1.3470064199995249
8,participacao_industria_2020,0.00316966852641718,0.00014287484391914786,0.002960929147877489,0.0032919827573610894,0.0030248472355498546,0.00015562848840981698,0.0030037073917496436,0.00027082802830725636,1.299931519999518
9,rede_nome,0.002889363787000754,0.0001288325758005488,0.0027593377997282564,0.0030841255184492766,0.004000381281991672,0.00014098742428473291,0.005075714946877796,0.0003708019385496308,1.3473433200008003
10,proporcao_matriculas_integral_anos_iniciais,0.0019344849607559444,0.00016685884302644765,0.0017833723573579263,0.002177961381763849,0.0024886570568017686,0.00012926334441865962,0.002849232515905231,0.00020481437954907543,1.3419740599987562
11,alunos_por_turma_anos_iniciais,0.001809672335683654,4.943484527832224e-05,0.0017509421922301538,0.0018775345307531222,0.0016827309262968937,0.00010844672392251332,0.0008568061674333993,0.0002784404489353541,1.3035100800014334
12,razao_matriculas_docentes_anos_iniciais,0.0014956759660302854,9.165043235940238e-05,0.0014028782632650172,0.0016060679680509615,0.0018710208064036226,0.00011339104024782825,0.0023226903146208455,0.00019811241550516453,1.310716059996048
13,proporcao_biblioteca_sala_leitura,0.0012609753866152928,0.0001685979305969032,0.0010822540344176401,0.0014923591362870914,0.0012617182783399184,0.0001599556348881981,0.001274274895768457,0.0006135505302674153,1.3059017600025982
14,proporcao_internet_aprendizagem,0.0008720732498269212,0.00048626921656405857,0.0001144852582093403,0.0013759108359480132,-3.715207750396576e-05,0.0002119503509374207,-0.0008925946506708193,0.00045107853305941735,1.3236639600014315
15,proporcao_laboratorio_informatica,0.0005726268195770601,0.00016129074865856027,0.00036280386466425174,0.0007410478633066431,0.0008858759299305464,0.00012924733129495542,0.0007472417654104335,7.540210614898788e-05,1.3274802800006
16,proporcao_escolas_rurais,0.00011722332215464703,0.00014650884549114124,-4.220687561662384e-05,0.00029487099321834354,0.00022268369753317697,3.354748090516825e-05,0.0001024142333539313,0.00010541211970805318,1.3289508799964096
17,amazonia_legal,2.458580044040204e-05,1.896387539677026e-05,-4.4491321445905285e-06,4.309602133600876e-05,-8.676647306016249e-06,9.75297173673533e-06,0.0001077980023481473,5.791596905696189e-05,1.2978635799983749
18,capital_uf,-3.11516928369171e-05,8.46515475616058e-06,-4.596446908433638e-05,-2.6088619592634643e-05,-0.00017201505890940272,1.933940715730225e-05,-7.55642129519174e-05,2.8969422491913474e-05,1.3117947399965488
