threshold_risk,accuracy,balanced_accuracy,precision_risk,recall_risk,f1_risk,recall_literate,actual_risk_rate,predicted_risk_rate,true_negative,false_positive,false_negative,true_positive
0.1,0.4291550023988411,0.5102705372494176,0.42122472379911996,0.9939189167580774,0.5916900718647863,0.02662215774075792,0.416142038010153,0.9819258468641058,23359,854068,3803,621579
0.11,0.4424594209909576,0.5202194951292377,0.4263741335330922,0.9838610641176113,0.5949261646978059,0.05657792614086414,0.416142038010153,0.9602504376803705,49643,827784,10093,615289
0.12,0.44881884524247595,0.5251784162431447,0.4290066145469658,0.980469537018974,0.5968570894592574,0.06988729546731523,0.416142038010153,0.951068299431265,61321,816106,12214,613168
0.13,0.45016432560624803,0.5262858644948006,0.4295951535607508,0.9801577275968928,0.5973685390236249,0.07241400139270845,0.416142038010153,0.9494633050507416,63538,813889,12409,612973
0.14,0.4537003704396234,0.5290924114940181,0.431107523291477,0.97861467071326,0.5985408312958436,0.07957015227477614,0.416142038010153,0.9446429985447252,69817,807610,13374,612008
0.15,0.45465192183437814,0.5298404620610871,0.43151411605199186,0.9781493551141542,0.5988454166152714,0.08153156900802004,0.416142038010153,0.9433041723865109,71538,805889,13665,611717
0.16,0.4556773349108237,0.5305661013191955,0.4319198550684686,0.9770876040564007,0.5990366248243362,0.0840445985819903,0.416142038010153,0.9413950808119994,73743,803684,14329,611053
0.17,0.456188377897657,0.5309938690401338,0.43215032644143825,0.9770188460812751,0.5992453163272061,0.0849688919989925,0.416142038010153,0.9408268116573696,74554,802873,14372,611010
0.18,0.4571725348996446,0.5318173824741063,0.4325948354241076,0.9768845281763786,0.5996472351539887,0.08675023677183401,0.416142038010153,0.9397308640020122,76117,801310,14456,610926
0.19,0.45783862087597293,0.5323770061199917,0.43289720871266585,0.9768093741105436,0.5999234970584668,0.08794463812943983,0.416142038010153,0.9390022284934413,77165,800262,14503,610879
0.2,0.45868902834625025,0.5330767935762883,0.4332778808398038,0.9766110952985535,0.6002514991422592,0.08954249185402319,0.416142038010153,0.9379867967253324,78567,798860,14627,610755
0.21,0.4614784713160488,0.5353241236600689,0.4345128262465719,0.9756260973293123,0.6012486370285769,0.09502214999082545,0.416142038010153,0.934377555630822,83375,794052,15243,610139
0.22,0.4637908077473584,0.5369773047480163,0.435459571289993,0.9733490890367807,0.601720004942543,0.10060552045925188,0.416142038010153,0.9301701014566721,88274,789153,16667,608715
0.23,0.46727295351571624,0.5394809304216683,0.43690712576226043,0.9700183247998823,0.6024596655859843,0.10894353604345433,0.416142038010153,0.9239158136529659,95590,781837,18750,606632
