ano,id_municipio,municipio,sigla_uf,regiao,capital_uf,amazonia_legal,rede_nome,quantidade_alunos,quantidade_alfabetizados,quantidade_nao_alfabetizados,taxa_alfabetizacao,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_servicos_2020,participacao_administracao_publica_2020
2023,1100015,Alta Floresta D'Oeste,RO,Norte,0,1,Municipal,227,153,74,0.67400881057268713,22728,25089.845124956002,0.38008121345534662,0.038710002933850088,0.28073955446589915,0.30046922914490415
2023,1100023,Ariquemes,RO,Norte,0,1,Municipal,1222,764,458,0.62520458265139178,109523,25723.647087826303,0.0792021687077614,0.16049381247308347,0.47864087757159296,0.28166314124756214
2023,1100031,Cabixi,RO,Norte,0,1,Municipal,76,54,22,0.71052631578947356,5188,32219.159599074788,0.507619577655909,0.033992633678720838,0.17921171607771533,0.27917607258765487
2023,1100049,Cacoal,RO,Norte,0,1,Estadual,200,132,68,0.65999999999999992,85893,29325.381579406938,0.10524629723195755,0.12275207382634662,0.51554668014018878,0.25645494880150704
2023,1100049,Cacoal,RO,Norte,0,1,Municipal,613,385,228,0.62805872756933068,85893,29325.381579406938,0.10524629723195755,0.12275207382634662,0.51554668014018878,0.25645494880150704
2023,1100056,Cerejeiras,RO,Norte,0,1,Municipal,222,127,95,0.572072072072072,16204,37066.773636139224,0.18554242345919783,0.046171197631523296,0.54193002655137579,0.22635439429184584
2023,1100064,Colorado do Oeste,RO,Norte,0,1,Municipal,147,93,54,0.6326530612244895,15544,23605.37828100875,0.25936642292334483,0.070938348592812533,0.34583939774885009,0.32385874748794652
2023,1100072,Corumbiara,RO,Norte,0,1,Municipal,119,71,48,0.59663865546218509,7220,37168.0055401662,0.60292693508525919,0.042013681755851157,0.13462119510059886,0.2204381880582908
2023,1100080,Costa Marques,RO,Norte,0,1,Municipal,214,171,43,0.79906542056074759,18798,13934.67390147888,0.31932813019456363,0.024553960137413521,0.19124701188911933,0.46487089777890356
2023,1100098,Espigão D'Oeste,RO,Norte,0,1,Estadual,96,67,29,0.69791666666666685,32695,20379.905184278941,0.22663460716141806,0.08966409883625312,0.351237426731312,0.33246551191047896
2023,1100098,Espigão D'Oeste,RO,Norte,0,1,Municipal,339,289,50,0.85250737463126813,32695,20379.905184278941,0.22663460716141806,0.08966409883625312,0.351237426731312,0.33246551191047896
2023,1100106,Guajará-Mirim,RO,Norte,0,1,Estadual,75,43,32,0.57333333333333347,46556,21149.024830311882,0.070264283821135129,0.049281076066790351,0.52432698496838437,0.3561276551436901
2023,1100106,Guajará-Mirim,RO,Norte,0,1,Municipal,431,191,240,0.44315545243619475,46556,21149.024830311882,0.070264283821135129,0.049281076066790351,0.52432698496838437,0.3561276551436901
2023,1100114,Jaru,RO,Norte,0,1,Estadual,33,20,13,0.60606060606060619,51620,32257.865168539327,0.15166609761649269,0.13262730465320458,0.48279165176297162,0.23291426852664782
2023,1100114,Jaru,RO,Norte,0,1,Municipal,625,395,230,0.63200000000000067,51620,32257.865168539327,0.15166609761649269,0.13262730465320458,0.48279165176297162,0.23291426852664782
2023,1100122,Ji-Paraná,RO,Norte,0,1,Estadual,682,392,290,0.574780058651026,130009,31206.885677145427,0.044673232409597863,0.16885462702701773,0.55850549002320438,0.22796665054018
2023,1100122,Ji-Paraná,RO,Norte,0,1,Municipal,814,663,151,0.8144963144963141,130009,31206.885677145427,0.044673232409597863,0.16885462702701773,0.55850549002320438,0.22796665054018
2023,1100130,Machadinho D'Oeste,RO,Norte,0,1,Municipal,432,225,207,0.52083333333333315,40867,17133.3349646414,0.34033707679131314,0.053850403170574948,0.22626170489148187,0.37955081514663008
2023,1100148,Nova Brasilândia D'Oeste,RO,Norte,0,1,Municipal,216,162,54,0.74999999999999944,20489,19687.295622041096,0.32743210040507337,0.0599242977621356,0.26788232950395113,0.34476127232883991
2023,1100155,Ouro Preto do Oeste,RO,Norte,0,1,Municipal,384,282,102,0.73437500000000033,35737,24767.943587878108,0.19991069243944212,0.10840714460484463,0.40489601174455592,0.2867861512111573
2023,1100189,Pimenta Bueno,RO,Norte,0,1,Municipal,440,311,129,0.70681818181818257,36881,36906.808383720614,0.11097975442996469,0.19996809627834225,0.45643679739807425,0.2326162381081093
2023,1100205,Porto Velho,RO,Norte,1,1,Estadual,453,261,192,0.57615894039735172,539354,36055.61467978359,0.04638559953748668,0.289622206131059,0.45223713999876319,0.21175505433269115
2023,1100205,Porto Velho,RO,Norte,1,1,Municipal,5417,3540,1877,0.65349824626176778,539354,36055.61467978359,0.04638559953748668,0.289622206131059,0.45223713999876319,0.21175505433269115
2023,1100254,Presidente Médici,RO,Norte,0,1,Estadual,65,35,30,0.53846153846153844,18571,24990.0382316515,0.2870826413826712,0.097019762584039479,0.31890290926811726,0.29699232112188267
2023,1100254,Presidente Médici,RO,Norte,0,1,Municipal,132,86,46,0.651515151515152,18571,24990.0382316515,0.2870826413826712,0.097019762584039479,0.31890290926811726,0.29699232112188267
2023,1100262,Rio Crespo,RO,Norte,0,1,Municipal,49,40,9,0.81632653061224492,3804,35109.6214511041,0.59214646699531825,0.040693888940563666,0.10566458934052646,0.26149505472359158
2023,1100288,Rolim de Moura,RO,Norte,0,1,Estadual,74,50,24,0.67567567567567566,55407,25330.716335481076,0.09356280323109134,0.1476865879346444,0.46273776164059488,0.29601284719366938
2023,1100288,Rolim de Moura,RO,Norte,0,1,Municipal,602,418,184,0.69435215946843876,55407,25330.716335481076,0.09356280323109134,0.1476865879346444,0.46273776164059488,0.29601284719366938
2023,1100296,Santa Luzia D'Oeste,RO,Norte,0,1,Municipal,92,70,22,0.760869565217391,6216,25219.594594594593,0.407983600249446,0.079477755516340037,0.19125081268990407,0.32128783154430984
2023,1100304,Vilhena,RO,Norte,0,1,Municipal,1054,701,353,0.66508538899430647,102211,30843.646965590789,0.066181473691516654,0.14477705009907285,0.53156504823686512,0.25747679716519117
2023,1100320,São Miguel do Guaporé,RO,Norte,0,1,Municipal,226,153,73,0.67699115044247782,23077,31661.091129696233,0.37682891507046495,0.1362122989692833,0.24822630712022492,0.2387324788400268
2023,1100338,Nova Mamoré,RO,Norte,0,1,Municipal,384,247,137,0.64322916666666641,31392,19171.859072375126,0.43386236064382766,0.0368375987061174,0.19110369223583951,0.3381980782037865
2023,1100346,Alvorada D'Oeste,RO,Norte,0,1,Estadual,64,27,37,0.42187499999999994,14106,20522.968949383241,0.36375518022315917,0.047397016623520645,0.2335646056189444,0.35528679803700597
2023,1100346,Alvorada D'Oeste,RO,Norte,0,1,Municipal,84,25,59,0.29761904761904756,14106,20522.968949383241,0.36375518022315917,0.047397016623520645,0.2335646056189444,0.35528679803700597
2023,1100379,Alto Alegre dos Parecis,RO,Norte,0,1,Municipal,172,121,51,0.70348837209302351,13255,24482.76122218031,0.50375848067434215,0.043113306949013157,0.15672864412006579,0.29639956825657893
2023,1100403,Alto Paraíso,RO,Norte,0,1,Municipal,133,86,47,0.64661654135338309,21847,18143.772600357028,0.3232339667331719,0.053063684957376213,0.26649738069072948,0.357202300297673
2023,1100452,Buritis,RO,Norte,0,1,Municipal,433,219,214,0.50577367205542689,40356,19365.843988502329,0.30251149414205081,0.0468704805088551,0.31064761122941176,0.33997041411968232
2023,1100502,Novo Horizonte do Oeste,RO,Norte,0,1,Municipal,103,76,27,0.737864077669903,8329,22222.11550006003,0.39724870962441716,0.062102334857421289,0.21278307525821677,0.32786588025994484
